asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BND,long,2009-06-22 00:00:00,77.13,2009-12-23 00:00:00,79.0,signal,0.02384478153766385
BND,long,2010-01-22 00:00:00,79.6,2010-02-16 00:00:00,79.2,signal,-0.0054251256281406144
BND,long,2010-03-01 00:00:00,79.53,2010-03-15 00:00:00,79.44,signal,-0.0015316484345530453
BND,long,2010-03-16 00:00:00,79.42,2010-03-25 00:00:00,78.84020110527993,stop,-0.007700414186855564
BND,long,2010-04-20 00:00:00,79.38,2010-06-30 00:00:00,81.4,target,0.025047215923406484
BND,long,2011-03-16 00:00:00,80.67,2011-04-01 00:00:00,79.69,stop,-0.012548258336432404
BND,long,2011-04-19 00:00:00,80.46,2011-08-02 00:00:00,82.52279926471898,target,0.02523757475415107
BND,long,2011-12-15 00:00:00,83.78,2011-12-27 00:00:00,82.91501936093684,stop,-0.010724428730761114
BND,long,2012-01-18 00:00:00,83.8,2012-01-24 00:00:00,83.38,signal,-0.005411933174224326
BND,long,2012-01-30 00:00:00,84.06,2012-03-14 00:00:00,83.26,stop,-0.009917011658339291
BND,long,2012-04-16 00:00:00,83.73,2012-08-20 00:00:00,84.21,signal,0.005332712289501895
BND,long,2012-08-27 00:00:00,84.8,2012-09-17 00:00:00,84.34,signal,-0.0058245283018866665
BND,long,2012-09-25 00:00:00,84.86,2012-10-22 00:00:00,84.67,signal,-0.0026389818524628515
BND,long,2012-11-06 00:00:00,84.79,2012-11-08 00:00:00,84.85,signal,0.00030763061681788917
BND,long,2012-11-09 00:00:00,84.88,2012-12-14 00:00:00,84.54,signal,-0.0044056550424126815
BND,long,2013-04-09 00:00:00,83.85,2013-05-13 00:00:00,83.32,stop,-0.0067208109719737895
BND,long,2014-10-06 00:00:00,82.1,2014-10-15 00:00:00,83.58,target,0.017626796589525106
BND,long,2014-11-14 00:00:00,82.19,2014-11-17 00:00:00,82.39,signal,0.0020333860566978503
BND,long,2014-11-18 00:00:00,82.34,2014-12-30 00:00:00,82.44,signal,0.0008144765606023622
BND,long,2015-01-05 00:00:00,82.74,2015-02-19 00:00:00,82.74,signal,-0.0004
BND,long,2015-02-26 00:00:00,83.14,2015-03-05 00:00:00,82.57,signal,-0.007255905701226961
BND,long,2015-03-20 00:00:00,83.15,2015-04-30 00:00:00,82.69,signal,-0.005932170775706669
BND,long,2015-09-23 00:00:00,81.66,2015-11-04 00:00:00,81.39,signal,-0.0037063923585597845
BND,long,2016-01-27 00:00:00,81.35,2016-06-09 00:00:00,83.47,target,0.02566023355869702
BND,long,2016-09-28 00:00:00,84.24,2016-10-05 00:00:00,83.59016184376118,stop,-0.008114128160479782
BND,long,2017-02-27 00:00:00,81.46,2017-03-02 00:00:00,80.70888795751928,stop,-0.009620624140445776
BND,long,2017-03-24 00:00:00,80.94,2017-07-10 00:00:00,81.41,signal,0.005406770447244869
BND,long,2017-07-18 00:00:00,81.9,2017-09-25 00:00:00,82.07,signal,0.0016757020757018463
BND,long,2017-09-26 00:00:00,82.17,2017-10-03 00:00:00,81.72,signal,-0.005876451259583848
BND,long,2018-06-01 00:00:00,79.03,2018-06-06 00:00:00,78.85,signal,-0.0026776160951538673
BND,long,2018-07-05 00:00:00,79.13,2018-07-27 00:00:00,79.05,signal,-0.0014109945659041441
BND,long,2018-08-13 00:00:00,79.17,2018-09-11 00:00:00,78.82,signal,-0.004820866489832087
BND,long,2018-12-11 00:00:00,78.66,2019-03-15 00:00:00,80.23043328455014,target,0.019564826907578724
BND,long,2020-11-25 00:00:00,88.2655,2020-12-07 00:00:00,87.98,signal,-0.003634559369175938
BND,long,2020-12-17 00:00:00,88.23,2020-12-28 00:00:00,87.94,signal,-0.0036868638784994133
BND,long,2021-01-05 00:00:00,88.0201,2021-01-06 00:00:00,87.41494164961574,stop,-0.007275229071362732
BND,long,2021-06-09 00:00:00,85.69,2021-09-28 00:00:00,85.565,signal,-0.001858746644882769
BND,long,2023-03-17 00:00:00,73.49,2023-05-19 00:00:00,72.72,signal,-0.010877616002177114
