asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
IEF,short,2003-07-24 00:00:00,84.8,2003-09-19 00:00:00,85.05,time,-0.004141764001197859
IEF,short,2003-09-22 00:00:00,84.66,2003-09-30 00:00:00,86.16759391098046,stop,-0.018326677089641398
IEF,short,2003-10-06 00:00:00,84.57,2003-12-02 00:00:00,83.66,time,0.009566666103594088
IEF,short,2003-12-03 00:00:00,83.8,2003-12-12 00:00:00,85.11553160346426,stop,-0.016237356710658204
IEF,short,2004-04-15 00:00:00,84.1,2004-06-14 00:00:00,81.5,time,0.029721925900760567
IEF,short,2004-06-15 00:00:00,81.9,2004-06-30 00:00:00,82.92073092596421,stop,-0.01308139103741388
IEF,short,2004-07-01 00:00:00,82.77,2004-07-02 00:00:00,83.80884714593552,stop,-0.012970851852607023
IEF,short,2004-07-06 00:00:00,83.66,2004-08-06 00:00:00,85.05,stop,-0.01747121891708321
IEF,short,2005-01-05 00:00:00,84.68,2005-01-21 00:00:00,85.58488460695564,stop,-0.011304184612510348
IEF,short,2005-02-23 00:00:00,85.03,2005-04-21 00:00:00,85.0,time,-0.0008408341407047295
IEF,short,2005-08-02 00:00:00,84.35,2005-08-23 00:00:00,85.28850968495014,stop,-0.011823993498717367
IEF,short,2005-08-24 00:00:00,85.36,2005-08-31 00:00:00,86.2259095791282,stop,-0.01064341416467267
IEF,short,2005-09-19 00:00:00,84.81,2005-11-14 00:00:00,82.83,time,0.022152652708294758
IEF,short,2005-11-15 00:00:00,82.6,2005-11-17 00:00:00,83.51219519490772,stop,-0.011483207901761626
IEF,short,2005-11-18 00:00:00,83.26,2005-12-27 00:00:00,84.18948900991701,stop,-0.012059723914143717
IEF,short,2005-12-28 00:00:00,83.96,2006-02-27 00:00:00,82.86,time,0.011907826100108052
IEF,short,2006-02-28 00:00:00,82.79,2006-04-26 00:00:00,80.5,time,0.026466694658698615
IEF,short,2006-04-27 00:00:00,80.4,2006-06-23 00:00:00,79.9,time,0.005025254678986022
IEF,short,2006-06-26 00:00:00,79.84,2006-07-13 00:00:00,80.54078950843974,stop,-0.009415518940997814
IEF,short,2006-07-14 00:00:00,80.66,2006-08-04 00:00:00,81.55,stop,-0.0117315887971851
IEF,short,2007-01-26 00:00:00,81.73,2007-02-08 00:00:00,82.38057837347866,stop,-0.008538664093182269
IEF,short,2007-05-21 00:00:00,82.16,2007-07-18 00:00:00,80.75,time,0.015967985038871042
IEF,short,2007-07-19 00:00:00,80.77,2007-07-25 00:00:00,81.67507479066357,stop,-0.011684946243950556
IEF,short,2007-07-26 00:00:00,82.09,2007-08-16 00:00:00,82.93631431332528,stop,-0.011007209903085947
IEF,short,2008-06-13 00:00:00,86.0,2008-06-27 00:00:00,87.7090872905457,stop,-0.02047152072801377
IEF,short,2008-07-24 00:00:00,87.09,2008-08-07 00:00:00,88.5388848190538,stop,-0.017235050877925807
IEF,short,2009-05-26 00:00:00,91.87,2009-07-22 00:00:00,91.2,time,0.006099263106425454
IEF,short,2009-07-23 00:00:00,90.76,2009-09-18 00:00:00,91.39,time,-0.008135034663196808
IEF,short,2009-09-21 00:00:00,91.34,2009-10-01 00:00:00,92.8757079172406,stop,-0.01737182318742088
IEF,short,2009-11-11 00:00:00,91.2,2009-11-25 00:00:00,92.52595643659558,stop,-0.015137408713715094
IEF,short,2009-12-21 00:00:00,90.32,2010-02-19 00:00:00,89.46,time,0.008328049826366877
IEF,short,2010-02-22 00:00:00,89.44,2010-02-25 00:00:00,90.58964586536614,stop,-0.013313346096712374
