asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
HYG,short,2007-07-20 00:00:00,100.98,2007-09-12 00:00:00,102.44111117068918,stop,-0.015603439429058532
HYG,short,2007-11-14 00:00:00,102.75,2008-01-14 00:00:00,97.64,time,0.048538709303672836
HYG,short,2008-01-15 00:00:00,97.88,2008-03-13 00:00:00,95.22,time,0.025982483248032824
HYG,short,2008-03-14 00:00:00,94.83,2008-03-18 00:00:00,96.88893181328206,stop,-0.022151501724350455
HYG,short,2008-03-19 00:00:00,95.46,2008-04-04 00:00:00,97.98000945473056,stop,-0.02701684452692319
HYG,short,2008-06-10 00:00:00,97.22,2008-08-06 00:00:00,92.26,time,0.04982465819626887
HYG,short,2008-08-07 00:00:00,92.17,2008-10-03 00:00:00,83.23,time,0.09580103294292293
HYG,short,2008-10-06 00:00:00,80.5,2008-12-02 00:00:00,65.27,time,0.18799889579020018
HYG,short,2008-12-03 00:00:00,64.8,2008-12-18 00:00:00,69.7881281916851,stop,-0.07759554087697482
HYG,short,2009-02-18 00:00:00,72.32,2009-04-16 00:00:00,72.71,time,-0.006586349908695157
HYG,short,2010-02-03 00:00:00,86.4,2010-03-08 00:00:00,87.985407705097,stop,-0.0191861341529084
HYG,short,2010-05-14 00:00:00,86.21,2010-07-13 00:00:00,86.75,time,-0.007457425297768652
HYG,short,2010-12-10 00:00:00,89.5,2011-01-05 00:00:00,90.82866505348538,stop,-0.015582721179316939
HYG,short,2011-06-06 00:00:00,90.94,2011-08-02 00:00:00,90.49,time,0.0037546667783747243
HYG,short,2011-08-03 00:00:00,89.61,2011-09-29 00:00:00,85.0,time,0.05025150041715161
HYG,short,2011-09-30 00:00:00,83.98,2011-10-18 00:00:00,86.46434908368737,stop,-0.030220723050519285
HYG,short,2011-11-21 00:00:00,85.79,2011-12-21 00:00:00,88.53545598562332,stop,-0.03281871802024303
HYG,short,2012-04-11 00:00:00,89.24,2012-04-17 00:00:00,90.44127431316994,stop,-0.013940529503053467
HYG,short,2012-04-18 00:00:00,90.24,2012-06-14 00:00:00,88.49,time,0.018199079702803052
HYG,short,2012-06-15 00:00:00,89.0,2012-06-29 00:00:00,90.98,stop,-0.022845603709648766
HYG,short,2012-11-12 00:00:00,91.49,2012-11-28 00:00:00,92.59825901303142,stop,-0.012731698202939934
HYG,short,2013-02-26 00:00:00,93.64,2013-03-18 00:00:00,94.44935473724557,stop,-0.009321036398512117
HYG,short,2013-06-03 00:00:00,92.38,2013-07-18 00:00:00,93.6240410880998,stop,-0.014501483615000723
HYG,short,2013-08-02 00:00:00,91.96,2013-09-30 00:00:00,91.59,time,0.002829837679598388
HYG,short,2014-02-06 00:00:00,92.78,2014-02-11 00:00:00,93.55080056709944,stop,-0.008767354884102806
HYG,short,2014-07-17 00:00:00,94.11,2014-09-12 00:00:00,92.7,time,0.013788816531819357
HYG,short,2014-09-15 00:00:00,92.75,2014-10-23 00:00:00,93.52647160009295,stop,-0.009327217012083234
HYG,short,2014-10-24 00:00:00,92.45,2014-10-30 00:00:00,94.50846276850649,stop,-0.022745052137304267
HYG,short,2014-10-31 00:00:00,92.81,2014-12-30 00:00:00,89.77,time,0.03156144025257275
HYG,short,2014-12-31 00:00:00,89.88,2015-02-25 00:00:00,91.78997769229603,stop,-0.022384435087109213
HYG,short,2015-03-20 00:00:00,90.1,2015-04-08 00:00:00,91.24963492628709,stop,-0.013397639370027381
HYG,short,2015-05-08 00:00:00,90.86,2015-07-07 00:00:00,88.33,time,0.026651385525961753
HYG,short,2015-07-08 00:00:00,88.17,2015-09-02 00:00:00,85.93,time,0.02421181591838268
HYG,short,2015-09-03 00:00:00,86.0,2015-10-30 00:00:00,85.53,time,0.004271465485418966
HYG,short,2015-11-10 00:00:00,84.1,2016-01-08 00:00:00,80.04,time,0.0470822112753146
HYG,short,2016-01-11 00:00:00,79.86,2016-03-09 00:00:00,80.55,time,-0.009833771004018879
HYG,short,2016-11-04 00:00:00,85.09,2016-11-07 00:00:00,86.19822592775428,stop,-0.013444003072101007
HYG,short,2016-11-08 00:00:00,85.77,2017-01-04 00:00:00,87.00164633566567,stop,-0.01551384158573539
HYG,short,2017-03-21 00:00:00,87.08,2017-04-25 00:00:00,88.07,stop,-0.012245046700352091
HYG,short,2017-07-11 00:00:00,87.7,2017-07-14 00:00:00,88.47041016249992,stop,-0.009244132275885452
HYG,short,2017-08-11 00:00:00,87.37,2017-08-24 00:00:00,88.05750556666655,stop,-0.008447468838054584
HYG,short,2017-08-25 00:00:00,88.04,2017-10-23 00:00:00,88.7,time,-0.00869024325162431
HYG,short,2017-11-08 00:00:00,87.74,2018-01-08 00:00:00,87.96,time,-0.0037010590453033145
HYG,short,2018-01-11 00:00:00,87.52,2018-03-12 00:00:00,86.0,time,0.016173808072893987
HYG,short,2018-03-13 00:00:00,85.93,2018-05-09 00:00:00,85.35,time,0.005556029178419639
HYG,short,2018-05-10 00:00:00,85.57,2018-07-09 00:00:00,85.37,time,0.0011436169403679728
HYG,short,2018-07-10 00:00:00,85.5,2018-07-31 00:00:00,86.14888629376631,stop,-0.008286932425002714
HYG,short,2018-10-11 00:00:00,84.83,2018-12-10 00:00:00,82.82,time,0.022500796925316653
