asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
SHY,long,2006-08-22 00:00:00,80.04,2007-02-06 00:00:00,79.83,signal,-0.003023688155922177
SHY,long,2007-02-16 00:00:00,80.09,2007-05-08 00:00:00,80.12,signal,-2.54214009239192e-05
SHY,long,2007-05-11 00:00:00,80.22,2007-05-15 00:00:00,80.15,signal,-0.0012726003490400202
SHY,long,2008-08-21 00:00:00,83.19,2008-09-09 00:00:00,82.99,signal,-0.0028041351123933465
SHY,long,2008-09-10 00:00:00,83.11,2008-11-20 00:00:00,84.75,target,0.019332884129467053
SHY,long,2009-10-01 00:00:00,83.99,2009-10-27 00:00:00,83.76,signal,-0.0031384212406237342
SHY,long,2009-11-02 00:00:00,83.85,2009-12-04 00:00:00,83.47727754147452,stop,-0.004845109821412885
SHY,long,2010-05-12 00:00:00,83.62,2010-12-15 00:00:00,83.89,signal,0.0028288926094234947
SHY,long,2011-05-03 00:00:00,84.08,2012-01-06 00:00:00,84.81288472952825,target,0.008316516764132321
SHY,long,2012-07-17 00:00:00,84.48,2012-08-10 00:00:00,84.44,signal,-0.0008734848484849729
SHY,long,2012-08-29 00:00:00,84.44,2012-10-12 00:00:00,84.41,signal,-0.000755281856939893
SHY,long,2012-11-14 00:00:00,84.44,2012-12-24 00:00:00,84.41,signal,-0.000755281856939893
SHY,long,2013-01-11 00:00:00,84.43,2013-01-29 00:00:00,84.42,signal,-0.0005184413123298533
SHY,long,2013-02-11 00:00:00,84.43,2013-02-13 00:00:00,84.42,signal,-0.0005184413123298533
SHY,long,2013-02-27 00:00:00,84.46,2013-03-11 00:00:00,84.42,signal,-0.0008735969689793062
SHY,long,2013-03-20 00:00:00,84.43,2013-05-29 00:00:00,84.3643554795658,stop,-0.0011775023147483795
SHY,long,2013-09-26 00:00:00,84.45,2013-10-11 00:00:00,84.41,signal,-0.000873653049141598
SHY,long,2014-06-25 00:00:00,84.5,2014-07-09 00:00:00,84.44,signal,-0.00111005917159761
SHY,long,2014-07-15 00:00:00,84.5,2014-07-21 00:00:00,84.52,signal,-0.0001633136094674633
SHY,long,2014-07-28 00:00:00,84.46,2014-07-29 00:00:00,84.46,signal,-0.0004
SHY,long,2014-08-06 00:00:00,84.56,2014-09-11 00:00:00,84.48,signal,-0.001346073793755886
SHY,long,2014-09-26 00:00:00,84.53,2014-10-13 00:00:00,85.0186669034041,target,0.005380987855247721
SHY,long,2016-01-27 00:00:00,84.74,2016-03-09 00:00:00,84.75,signal,-0.0002819919754542429
SHY,long,2016-03-22 00:00:00,84.85,2016-10-07 00:00:00,84.88,signal,-4.643488509130622e-05
SHY,long,2017-07-24 00:00:00,84.54,2017-08-08 00:00:00,84.53,signal,-0.0005182872013248959
SHY,long,2017-08-10 00:00:00,84.55,2017-09-22 00:00:00,84.47,signal,-0.0013461856889414477
SHY,long,2023-11-24 00:00:00,81.31,2023-11-27 00:00:00,81.33,signal,-0.0001540277948593346
