asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
BTCUSD,short,2024-01-23,39568.02,2024-02-08,45034.776267939495,stop,-0.14116097616053314,0.36741180303930576
BTCUSD,long,2024-02-09,45288.66,2024-03-20,61937.41,time,0.36461410030678765,0.4393035862275879
ETHUSD,long,2024-02-13,2659.99,2024-03-24,3329.53,time,0.2487077131868919,0.4382777082571479
ETHUSD,long,2024-04-09,3694.61,2024-04-13,3099.0483878115697,stop,-0.1641974233243645,0.24382547213448624
ETHUSD,short,2024-04-14,3007.01,2024-05-21,3701.19426119749,stop,-0.23385532179723045,0.2258003645925116
BTCUSD,short,2024-05-02,58364.97,2024-05-20,67967.96004095253,stop,-0.16753345287340216,0.3707217199694565
BTCUSD,long,2024-05-21,71446.62,2024-06-24,63165.70463019526,stop,-0.11890352867364107,0.3466784742452814
ETHUSD,long,2024-05-22,3789.59,2024-06-24,3263.107780122361,stop,-0.14192854368879992,0.25262267894713797
BTCUSD,short,2024-06-25,60293.3,2024-07-19,66396.87565418887,stop,-0.10423140803686104,0.692189277484098
ETHUSD,short,2024-06-25,3352.74,2024-08-04,2903.65,time,0.13094715963659564,0.5648517014059458
BTCUSD,long,2024-07-20,66660.01,2024-08-04,58966.51365328918,stop,-0.11841396928549541,0.4025947215512985
BTCUSD,short,2024-08-05,58161.0,2024-09-14,60497.99,time,-0.04318139302969348,0.40386999258635237
ETHUSD,short,2024-08-05,2688.91,2024-09-14,2439.19,time,0.08987034523282666,0.3310744449683522
BTCUSD,long,2024-09-19,61759.98,2024-10-29,69962.21,time,0.1298081712461695,0.40021142487875355
ETHUSD,long,2024-09-22,2612.4,2024-11-01,2518.61,time,-0.0389018527024958,0.3197666382501355
BTCUSD,long,2024-10-30,72736.41,2024-12-09,101109.6,time,0.38708235352830866,0.5004415429331596
ETHUSD,long,2024-11-08,2895.47,2024-12-18,3893.01,time,0.34151747039340774,0.30838515361620744
BTCUSD,long,2024-12-16,104463.99,2024-12-20,92533.42730969674,stop,-0.11720741913364852,0.4696779594414283
ETHUSD,short,2024-12-20,3417.01,2025-01-29,3077.72,time,0.09629441236636715,0.2630449690752361
BTCUSD,long,2025-01-18,104077.47,2025-02-03,92562.27602818861,stop,-0.11364060234949391,0.4520468492147772
ETHUSD,short,2025-02-03,2869.68,2025-03-15,1911.64,time,0.33084907027961297,0.28646246297381484
BTCUSD,short,2025-02-25,91552.88,2025-04-06,83537.99,time,0.08454383259161258,0.5717142158937626
BTCUSD,short,2025-04-07,78430.0,2025-04-22,89014.23134856547,stop,-0.13795131134215832,0.37286940511204525
ETHUSD,short,2025-04-07,1580.77,2025-05-08,1950.709581945298,stop,-0.23702492579268208,0.2501792838515457
BTCUSD,long,2025-04-23,93442.99,2025-06-02,105642.93,time,0.12756024855369008,0.35466863923570685
ETHUSD,long,2025-05-09,2207.39,2025-06-18,2509.95,time,0.13406685270840224,0.2035266292157739
BTCUSD,short,2025-06-06,101508.69,2025-06-09,110162.93208781171,stop,-0.08825616957338045,0.5502963748136773
ETHUSD,short,2025-06-22,2295.72,2025-07-09,2724.9842894528056,stop,-0.18998460154235086,0.3357604081774071
BTCUSD,long,2025-07-10,111234.0,2025-08-19,116227.05,time,0.04188780408867798,0.7123347777596842
ETHUSD,long,2025-07-10,2768.74,2025-08-19,4312.99,time,0.5547446780846162,0.3246085553118407
ETHUSD,long,2025-08-23,4832.07,2025-09-25,4063.462274017972,stop,-0.16206386413732166,0.237980002954387
BTCUSD,short,2025-08-26,110111.98,2025-10-02,119846.20119223246,stop,-0.09140292575097153,0.5848527691303764
ETHUSD,short,2025-09-26,3874.35,2025-10-02,4427.160857109411,stop,-0.14568480057542843,0.43562142081313726
BTCUSD,long,2025-10-03,120529.35,2025-10-10,112905.57404609438,stop,-0.06625244393922003,0.7271893494596688
ETHUSD,long,2025-10-07,4684.02,2025-10-10,4160.528573637977,stop,-0.11476114242937119,0.3867808124720567
ETHUSD,short,2025-11-04,3603.84,2025-12-14,3114.64,time,0.13274409518735575,0.253097977812846
BTCUSD,short,2025-11-05,101497.23,2025-12-15,88172.16,time,0.12828506068589252,0.4406129640845756
BTCUSD,long,2026-01-05,91529.74,2026-01-29,84230.0735086104,stop,-0.08275185433051169,0.7991098862463137
ETHUSD,long,2026-01-06,3224.99,2026-01-21,2880.2478818949085,stop,-0.1098971122716943,0.4411573323025062
ETHUSD,short,2026-01-26,2816.9,2026-03-07,1978.68,time,0.29456824878412435,0.39162534397918086
BTCUSD,short,2026-01-30,84650.16,2026-03-11,69948.64,time,0.17067385956506165,0.5335529745134353
BTCUSD,long,2026-03-17,74884.67,2026-03-27,65879.99881340344,stop,-0.12324719060118128,0.4012538837505691
ETHUSD,long,2026-03-17,2352.97,2026-03-27,1979.1663651389713,stop,-0.1618645987246028,0.28068688762364535
ETHUSD,long,2026-04-12,2285.0,2026-05-22,2133.77,time,-0.069183807439825,0.34077314811963033
BTCUSD,long,2026-04-14,74418.0,2026-05-24,76752.0,time,0.02836337982746107,0.4426357064366624
ETHUSD,short,2026-05-23,2065.86,2026-07-02,1609.59,time,0.2178620138828382,0.6780664694178995
BTCUSD,short,2026-05-29,73617.52,2026-07-08,63364.0,time,0.13628097550691742,0.7470237326391154
