asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EWG,long,1997-02-06 00:00:00,14.56,1997-03-10 00:00:00,15.38,target,0.05591868131868134
EWG,long,1997-03-11 00:00:00,15.38,1997-03-20 00:00:00,14.97251219389926,stop,-0.026894655793286138
EWG,long,1997-03-27 00:00:00,15.75,1997-04-02 00:00:00,15.0,stop,-0.04801904761904767
EWG,long,1997-05-12 00:00:00,16.38,1997-07-07 00:00:00,17.63,target,0.07591257631257627
EWG,long,1997-07-08 00:00:00,17.5,1997-08-26 00:00:00,16.69,stop,-0.04668571428571426
EWG,long,1997-10-06 00:00:00,18.13,1997-10-17 00:00:00,17.38,stop,-0.041767898510755616
EWG,long,1998-01-05 00:00:00,17.88,1998-01-09 00:00:00,17.17286695796883,stop,-0.0399488278540923
EWG,long,1998-01-29 00:00:00,18.0,1998-03-02 00:00:00,19.63,target,0.0901555555555555
EWG,long,1998-03-03 00:00:00,19.5,1998-04-06 00:00:00,21.5,target,0.10216410256410265
EWG,long,1998-04-07 00:00:00,21.5,1998-04-27 00:00:00,20.75443611665183,stop,-0.035077389923170596
EWG,long,1998-05-05 00:00:00,22.06,1998-06-29 00:00:00,24.24997246208196,target,0.09887345703000734
EWG,long,1998-07-07 00:00:00,24.5,1998-08-06 00:00:00,23.19,stop,-0.05386938775510201
EWG,long,1998-11-24 00:00:00,21.56,1999-01-06 00:00:00,24.663638102424418,target,0.14355352979705088
EWG,long,1999-01-07 00:00:00,23.5,1999-02-05 00:00:00,21.63,stop,-0.07997446808510637
EWG,long,1999-06-22 00:00:00,21.75,1999-07-29 00:00:00,20.700745888453543,stop,-0.04864156834696358
EWG,long,1999-11-03 00:00:00,22.06,1999-12-16 00:00:00,24.299810995639294,target,0.10113268339253385
EWG,long,1999-12-17 00:00:00,24.31,2000-01-11 00:00:00,27.10319901843638,target,0.11449917805168171
EWG,long,2000-01-18 00:00:00,27.31,2000-01-28 00:00:00,25.483574350872374,stop,-0.06727754116175848
EWG,long,2000-02-09 00:00:00,29.13,2000-03-15 00:00:00,26.69,stop,-0.0841624442155852
EWG,long,2002-01-04 00:00:00,15.57,2002-01-15 00:00:00,14.691717153443845,stop,-0.056808660665135166
EWG,long,2002-03-07 00:00:00,15.4,2002-05-03 00:00:00,14.89,time,-0.0335168831168831
EWG,long,2003-04-23 00:00:00,10.64,2003-06-12 00:00:00,12.416976560778256,target,0.16660907526111418
EWG,long,2003-06-17 00:00:00,12.8,2003-06-23 00:00:00,12.000632345210668,stop,-0.06285059803041652
EWG,long,2003-09-04 00:00:00,13.0,2003-10-30 00:00:00,14.0,time,0.07652307692307687
EWG,long,2003-10-31 00:00:00,13.99,2003-12-03 00:00:00,15.493872488281388,target,0.10709624648187184
EWG,long,2003-12-04 00:00:00,15.33,2004-01-21 00:00:00,16.86,target,0.09940430528375739
EWG,long,2004-01-22 00:00:00,17.1,2004-01-29 00:00:00,16.275385857109992,stop,-0.04862304929181342
EWG,long,2004-02-12 00:00:00,17.08,2004-02-24 00:00:00,16.247093969119426,stop,-0.04916499009839419
EWG,long,2004-06-08 00:00:00,16.07,2004-07-21 00:00:00,15.251500177892218,stop,-0.05133340523383838
EWG,long,2004-09-22 00:00:00,15.8,2004-11-04 00:00:00,16.9756959946502,target,0.07401113890191131
EWG,long,2004-11-05 00:00:00,17.15,2004-12-02 00:00:00,18.237456288510167,target,0.06300852994228397
EWG,long,2004-12-06 00:00:00,18.34,2005-01-18 00:00:00,17.67,stop,-0.03693217011995624
EWG,long,2005-02-28 00:00:00,18.56,2005-03-22 00:00:00,18.017371839936075,stop,-0.029636431037926948
EWG,long,2005-06-20 00:00:00,17.96,2005-08-03 00:00:00,19.39,target,0.07922138084632509
EWG,long,2005-08-04 00:00:00,19.32,2005-09-30 00:00:00,19.49,time,0.008399171842650112
EWG,long,2005-12-02 00:00:00,19.67,2006-01-06 00:00:00,21.38,target,0.08653441789527179
EWG,long,2006-01-09 00:00:00,21.34,2006-01-20 00:00:00,20.573849732475512,stop,-0.03630207439196291
EWG,long,2006-01-27 00:00:00,21.94,2006-03-27 00:00:00,22.76,time,0.03697465815861452
EWG,long,2006-03-31 00:00:00,23.12,2006-04-20 00:00:00,24.749415939476545,target,0.07007646797043883
EWG,long,2006-04-21 00:00:00,23.98,2006-05-17 00:00:00,22.920996185924174,stop,-0.04456196055362076
EWG,long,2006-08-16 00:00:00,23.62,2006-10-12 00:00:00,24.36,time,0.030929381879762862
EWG,long,2006-10-23 00:00:00,25.0,2006-11-30 00:00:00,26.55,target,0.06160000000000006
EWG,long,2006-12-06 00:00:00,26.63,2007-01-03 00:00:00,28.252864022561145,target,0.06054119498915296
EWG,long,2007-02-27 00:00:00,28.28,2007-03-01 00:00:00,27.05,stop,-0.043893635077793466
EWG,long,2007-04-03 00:00:00,29.33,2007-04-23 00:00:00,28.01560923681824,stop,-0.045213868502617036
EWG,long,2007-06-01 00:00:00,33.14,2007-06-07 00:00:00,31.542496317503726,stop,-0.0486046977216739
EWG,long,2007-07-06 00:00:00,33.78,2007-07-26 00:00:00,32.14813916986372,stop,-0.048708491123039696
EWG,long,2007-09-19 00:00:00,33.48,2007-11-14 00:00:00,35.74,time,0.06710298685782563
EWG,long,2007-12-11 00:00:00,36.33,2007-12-17 00:00:00,34.66,stop,-0.046367519955959266
EWG,long,2008-05-02 00:00:00,33.08,2008-06-11 00:00:00,31.55805314908874,stop,-0.04640806683528591
EWG,long,2009-06-02 00:00:00,19.99,2009-06-17 00:00:00,18.252868937799335,stop,-0.08730000311158896
EWG,long,2009-08-03 00:00:00,20.53,2009-09-29 00:00:00,22.19,time,0.08045728202630294
EWG,long,2009-10-13 00:00:00,22.71,2009-10-28 00:00:00,21.38429798287392,stop,-0.058775253946546854
EWG,long,2010-03-17 00:00:00,21.8,2010-05-04 00:00:00,20.732567214764288,stop,-0.04936480666218872
EWG,long,2010-08-03 00:00:00,21.5,2010-08-13 00:00:00,20.12666848755461,stop,-0.06427588429978552
EWG,long,2010-09-27 00:00:00,22.0,2010-11-04 00:00:00,24.73,target,0.12369090909090903
EWG,long,2010-11-05 00:00:00,24.62,2010-11-16 00:00:00,23.346343966467924,stop,-0.052132576504146086
EWG,long,2011-01-18 00:00:00,24.83,2011-03-15 00:00:00,23.47,stop,-0.055172452678211845
EWG,long,2011-04-04 00:00:00,26.51,2011-06-01 00:00:00,27.04,time,0.01959245567710295
EWG,long,2012-02-06 00:00:00,22.17,2012-04-03 00:00:00,23.56,time,0.06229733874605299
EWG,long,2012-08-07 00:00:00,21.03,2012-10-03 00:00:00,22.95,time,0.09089814550641924
EWG,long,2012-12-12 00:00:00,24.17,2013-01-30 00:00:00,25.841451561510063,target,0.06875397441084248
EWG,long,2013-02-04 00:00:00,25.51,2013-02-21 00:00:00,24.55,stop,-0.03803230105840853
EWG,long,2013-05-06 00:00:00,25.92,2013-06-21 00:00:00,24.803491341860237,stop,-0.04347517971218222
EWG,long,2013-08-14 00:00:00,26.81,2013-08-28 00:00:00,25.93,stop,-0.03322357329354712
EWG,long,2013-09-12 00:00:00,26.98,2013-10-17 00:00:00,28.865413741823847,target,0.0694819029586304
EWG,long,2013-10-18 00:00:00,28.91,2013-11-29 00:00:00,30.58,target,0.05736547907298513
EWG,long,2013-12-02 00:00:00,30.52,2013-12-04 00:00:00,29.54,stop,-0.03251009174311929
EWG,long,2013-12-23 00:00:00,31.02,2014-01-31 00:00:00,29.63,stop,-0.04520980012894908
EWG,long,2014-05-01 00:00:00,31.62,2014-06-27 00:00:00,31.05,time,-0.018426565464895673
EWG,long,2015-02-04 00:00:00,28.89,2015-04-02 00:00:00,30.25,time,0.0466751124956732
EWG,long,2015-04-07 00:00:00,30.54,2015-05-29 00:00:00,29.163409825186225,stop,-0.04547498935212095
EWG,long,2016-04-20 00:00:00,26.78,2016-05-05 00:00:00,25.55,stop,-0.04632979835698285
EWG,long,2016-08-10 00:00:00,26.41,2016-10-06 00:00:00,26.27,time,-0.005701022340022721
EWG,long,2016-12-08 00:00:00,26.09,2017-02-07 00:00:00,27.2,time,0.04214503641241847
EWG,long,2017-03-13 00:00:00,28.02,2017-04-24 00:00:00,29.54,target,0.0538469664525338
EWG,long,2017-04-25 00:00:00,29.74,2017-06-02 00:00:00,31.61,target,0.06247827841291205
EWG,long,2017-06-05 00:00:00,31.53,2017-06-20 00:00:00,30.709233346958467,stop,-0.026431292516382366
EWG,long,2017-09-07 00:00:00,31.65,2017-11-01 00:00:00,33.38,target,0.05426034755134297
EWG,long,2017-11-02 00:00:00,33.42,2017-11-09 00:00:00,32.78,stop,-0.019550209455415902
EWG,long,2017-12-19 00:00:00,33.52,2018-01-19 00:00:00,35.24,target,0.05091264916467782
EWG,long,2018-01-22 00:00:00,35.28,2018-02-02 00:00:00,34.27,stop,-0.02902811791383213
EWG,long,2019-04-15 00:00:00,28.27,2019-05-23 00:00:00,27.41,stop,-0.030820940926777497
EWG,long,2019-10-16 00:00:00,27.78,2019-12-12 00:00:00,29.08,time,0.04639625629949591
EWG,long,2019-12-13 00:00:00,29.46,2020-01-31 00:00:00,28.8,stop,-0.022803258655804504
EWG,long,2020-06-02 00:00:00,26.68,2020-07-29 00:00:00,29.38,time,0.10079940029984998
EWG,long,2020-08-13 00:00:00,29.93,2020-09-25 00:00:00,28.14,stop,-0.06020621450050116
EWG,long,2020-11-25 00:00:00,30.42,2021-01-26 00:00:00,32.53,time,0.06896226166995385
EWG,long,2021-03-12 00:00:00,32.89,2021-04-16 00:00:00,35.29475154261542,target,0.07271497545197399
EWG,long,2021-04-19 00:00:00,35.37,2021-05-04 00:00:00,34.28,stop,-0.031217076618603224
EWG,long,2021-05-10 00:00:00,35.41,2021-07-07 00:00:00,34.74,time,-0.019321208698107762
EWG,long,2021-08-16 00:00:00,35.11,2021-09-17 00:00:00,34.264540504209904,stop,-0.024480304636573514
EWG,long,2022-11-28 00:00:00,25.12,2023-01-17 00:00:00,27.944965389467487,target,0.11205881327497953
EWG,long,2023-02-02 00:00:00,28.82,2023-02-10 00:00:00,27.67846015637886,stop,-0.04000929367179522
EWG,long,2023-04-05 00:00:00,28.42,2023-06-02 00:00:00,28.69,time,0.009100351864883961
EWG,long,2023-07-14 00:00:00,29.3,2023-08-03 00:00:00,28.06,stop,-0.04272081911262808
