asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
LQD,long,2005-07-07 00:00:00,111.05,2005-07-15 00:00:00,110.59,signal,-0.004542278253039145
LQD,long,2005-09-07 00:00:00,110.88,2005-09-15 00:00:00,110.31,signal,-0.0055406926406926125
LQD,long,2006-09-01 00:00:00,105.77,2006-10-02 00:00:00,100.0,stop,-0.054952330528505164
LQD,long,2011-05-06 00:00:00,110.56,2011-10-27 00:00:00,114.49115245163131,target,0.035156733462656534
LQD,long,2013-04-17 00:00:00,121.32,2013-05-10 00:00:00,120.23215462270609,stop,-0.00936674396054986
LQD,long,2016-03-17 00:00:00,117.33,2016-06-29 00:00:00,122.52553858349806,target,0.04388141637686922
LQD,long,2017-05-26 00:00:00,119.82,2018-01-24 00:00:00,119.94,signal,0.0006015022533800267
LQD,long,2019-01-29 00:00:00,115.17,2019-03-22 00:00:00,118.44399728109425,target,0.02802751828683032
LQD,long,2021-07-06 00:00:00,134.53,2021-10-07 00:00:00,132.697254943617,stop,-0.014023318638095627
LQD,long,2021-11-08 00:00:00,134.69,2021-11-15 00:00:00,132.55518364424864,stop,-0.016249850439909053
LQD,long,2021-12-14 00:00:00,133.03,2021-12-23 00:00:00,132.77,signal,-0.002354446365481366
LQD,long,2023-01-23 00:00:00,110.15,2023-02-16 00:00:00,106.96,stop,-0.02936050839763964
LQD,long,2023-03-29 00:00:00,107.76,2023-05-30 00:00:00,106.94,signal,-0.00800950259836679
LQD,long,2023-06-14 00:00:00,106.93,2023-08-03 00:00:00,104.88154177596802,stop,-0.019557002001608415
