asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
TLT,long,2024-01-31 00:00:00,96.22,2024-02-21 00:00:00,92.18601176975206,stop,-0.04232463344676722,1.0
TLT,long,2024-02-22 00:00:00,92.33,2024-04-15 00:00:00,88.56398691901735,stop,-0.04118861779467824,1.0
TLT,long,2024-06-14 00:00:00,94.42,2024-07-01 00:00:00,90.42,stop,-0.0427639059521288,1.0
TLT,long,2024-07-02 00:00:00,90.68,2024-08-28 00:00:00,98.01,time,0.08043370092633424,1.0
TLT,long,2024-08-29 00:00:00,97.37,2024-10-10 00:00:00,93.85730539200742,stop,-0.03647573798903751,1.0
TLT,long,2024-10-11 00:00:00,93.48,2024-11-06 00:00:00,89.64,stop,-0.04147830551989733,1.0
TLT,long,2025-03-04 00:00:00,92.44,2025-03-27 00:00:00,88.81449787608241,stop,-0.039620057593223554,1.0
TLT,long,2025-03-28 00:00:00,89.88,2025-04-09 00:00:00,86.5608474203589,stop,-0.03732871138897524,1.0
TLT,long,2025-04-10 00:00:00,87.74,2025-06-09 00:00:00,85.04,time,-0.031172737633918302,1.0
TLT,long,2025-08-08 00:00:00,87.36,2025-10-06 00:00:00,88.71,time,0.015053296703296538,1.0
TLT,long,2025-10-07 00:00:00,88.97,2025-12-03 00:00:00,88.92,time,-0.0009619871866920922,1.0
TLT,long,2025-12-04 00:00:00,88.91,2026-01-20 00:00:00,86.61087495295975,stop,-0.02625901526307788,1.0
TLT,long,2026-02-26 00:00:00,90.06,2026-03-06 00:00:00,88.06182579845516,stop,-0.022587144143291594,1.0
TLT,long,2026-03-09 00:00:00,88.295,2026-03-20 00:00:00,86.06444935449639,stop,-0.025662479704440955,1.0
TLT,long,2026-06-30 00:00:00,87.15,2026-07-07 00:00:00,84.9670854802744,stop,-0.025447785653764755,1.0
