asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BND,short,2007-07-05 00:00:00,73.93,2007-07-26 00:00:00,74.65,stop,-0.010436561290280966
BND,short,2008-02-19 00:00:00,77.33,2008-03-18 00:00:00,79.83,stop,-0.033125805094226066
BND,short,2008-03-25 00:00:00,78.35,2008-05-20 00:00:00,77.45,time,0.010293266883439076
BND,short,2008-05-23 00:00:00,77.2,2008-07-22 00:00:00,75.37,time,0.022511012418784455
BND,short,2008-07-23 00:00:00,75.17,2008-08-26 00:00:00,76.36670454673568,stop,-0.016796165821882484
BND,short,2008-10-07 00:00:00,75.49,2008-12-03 00:00:00,76.0,time,-0.00794951249718783
BND,short,2009-02-09 00:00:00,77.13,2009-04-07 00:00:00,76.75,time,0.0037330962567834833
BND,short,2009-04-08 00:00:00,76.84,2009-06-05 00:00:00,76.52,time,0.002970846863819385
BND,short,2009-06-08 00:00:00,76.34,2009-06-17 00:00:00,77.44067983775817,stop,-0.014957016184646864
BND,short,2009-06-19 00:00:00,76.61,2009-06-26 00:00:00,77.74,stop,-0.01524923898202195
BND,short,2009-12-22 00:00:00,79.09,2010-02-05 00:00:00,79.6960875963416,stop,-0.00865850268420747
BND,short,2010-02-23 00:00:00,79.13,2010-02-26 00:00:00,79.70713349181567,stop,-0.007753009109860831
BND,short,2010-04-01 00:00:00,78.98,2010-04-21 00:00:00,79.48789170882687,stop,-0.007088573489790818
BND,short,2010-11-15 00:00:00,81.68,2011-01-12 00:00:00,80.1,time,0.018150129813597156
BND,short,2011-01-13 00:00:00,80.11,2011-03-14 00:00:00,80.43,time,-0.005188158345766738
BND,short,2011-04-07 00:00:00,79.73,2011-04-18 00:00:00,80.32922719660066,stop,-0.008054594352336263
BND,short,2011-10-14 00:00:00,82.78,2011-10-25 00:00:00,83.53457189430243,stop,-0.009654277802907195
BND,short,2011-10-27 00:00:00,83.29,2011-11-01 00:00:00,84.02332165517731,stop,-0.009263961979499923
BND,short,2011-12-07 00:00:00,83.35,2011-12-19 00:00:00,84.09916862671402,stop,-0.009546956034123432
BND,short,2012-01-09 00:00:00,83.34,2012-01-30 00:00:00,84.06,stop,-0.009317086633069405
BND,short,2012-03-15 00:00:00,82.85,2012-03-29 00:00:00,83.41828441072131,stop,-0.007457608965417074
BND,short,2012-03-30 00:00:00,83.47,2012-05-08 00:00:00,83.99588369462593,stop,-0.007216144905485146
BND,short,2012-08-17 00:00:00,84.16,2012-08-22 00:00:00,84.68918024615328,stop,-0.006747311905451592
BND,short,2012-09-14 00:00:00,84.52,2012-09-26 00:00:00,85.1,stop,-0.007421011275625622
BND,short,2012-10-22 00:00:00,84.67,2012-12-20 00:00:00,84.47,time,0.0011684609342340142
BND,short,2012-12-21 00:00:00,84.52,2013-02-21 00:00:00,83.38,time,0.012294281056798815
BND,short,2013-02-22 00:00:00,83.4,2013-04-05 00:00:00,83.97,stop,-0.0078099291994974136
BND,short,2013-05-16 00:00:00,83.33,2013-07-15 00:00:00,80.66,time,0.030847630857615282
BND,short,2013-07-16 00:00:00,80.87,2013-09-11 00:00:00,79.6,time,0.014510565850345889
BND,short,2013-09-12 00:00:00,79.79,2013-09-18 00:00:00,80.50894505752609,stop,-0.00948983077088128
BND,short,2013-12-04 00:00:00,80.39,2014-01-23 00:00:00,80.92223419624511,stop,-0.00767541368041942
BND,short,2014-04-07 00:00:00,81.09,2014-04-11 00:00:00,81.6,stop,-0.006768673255465485
BND,short,2014-09-15 00:00:00,81.6,2014-10-01 00:00:00,82.05519268005061,stop,-0.006216436905382228
BND,short,2014-10-06 00:00:00,82.1,2014-10-08 00:00:00,82.50207926485037,stop,-0.0053371157290901475
BND,short,2014-11-07 00:00:00,82.16,2014-11-26 00:00:00,82.72,stop,-0.007473905349221944
BND,short,2015-02-20 00:00:00,82.75,2015-03-24 00:00:00,83.45820028387394,stop,-0.009394819524108389
BND,short,2015-03-27 00:00:00,83.18,2015-05-26 00:00:00,82.06,time,0.012271124392692132
BND,short,2015-05-27 00:00:00,82.28,2015-07-23 00:00:00,81.35,time,0.010109217461089235
BND,short,2015-09-17 00:00:00,81.04,2015-09-18 00:00:00,81.66133824592907,stop,-0.00808689761151291
BND,short,2015-11-06 00:00:00,80.98,2016-01-06 00:00:00,81.03,time,-0.0018110871977011136
BND,short,2016-01-12 00:00:00,81.08,2016-01-29 00:00:00,81.76,stop,-0.00902487372847518
BND,short,2016-09-09 00:00:00,83.71,2016-09-28 00:00:00,84.2962109176853,stop,-0.007660814511583803
BND,short,2016-10-04 00:00:00,83.84,2016-11-30 00:00:00,80.93,time,0.03351531867199804
BND,short,2016-12-01 00:00:00,80.48,2017-01-05 00:00:00,81.13601919235445,stop,-0.009007681119302125
BND,short,2017-01-06 00:00:00,81.1,2017-03-07 00:00:00,80.6,time,0.004971577319789431
BND,short,2017-03-13 00:00:00,80.12,2017-03-20 00:00:00,80.72164375604794,stop,-0.00800848937526648
BND,short,2017-03-21 00:00:00,80.7,2017-04-07 00:00:00,81.3,stop,-0.008092880745854746
BND,short,2017-07-12 00:00:00,81.7,2017-07-21 00:00:00,82.14157640141492,stop,-0.005943740803392239
BND,short,2017-10-03 00:00:00,81.72,2017-11-29 00:00:00,81.65,time,-0.0003370673379485181
BND,short,2017-11-30 00:00:00,81.66,2018-01-30 00:00:00,80.57,time,0.012154377616831755
BND,short,2018-01-31 00:00:00,80.71,2018-03-29 00:00:00,79.76,time,0.010576885695012203
BND,short,2018-04-03 00:00:00,79.68,2018-05-30 00:00:00,79.39,time,0.002445907439281034
BND,short,2018-06-04 00:00:00,79.06,2018-07-31 00:00:00,79.02,time,-0.0006877059416396294
BND,short,2018-08-02 00:00:00,78.8,2018-08-10 00:00:00,79.19831012518154,stop,-0.00557374463911784
BND,short,2018-09-12 00:00:00,78.89,2018-11-07 00:00:00,77.7,time,0.013890643793749333
BND,short,2018-11-08 00:00:00,77.62,2018-11-23 00:00:00,78.09,stop,-0.006653553126137402
BND,short,2018-11-26 00:00:00,77.94,2018-12-04 00:00:00,78.34334038436597,stop,-0.005694058965801308
BND,short,2019-10-22 00:00:00,84.11,2019-12-18 00:00:00,83.99,time,0.00023305233320698206
BND,short,2019-12-19 00:00:00,83.88,2020-01-21 00:00:00,84.51926321569465,stop,-0.008417989150934214
BND,short,2020-03-19 00:00:00,79.74,2020-03-24 00:00:00,84.13811980881782,stop,-0.05561527761962954
BND,short,2020-03-25 00:00:00,84.14,2020-05-21 00:00:00,87.6,time,-0.04231559041808612
BND,short,2020-08-31 00:00:00,88.3,2020-10-27 00:00:00,87.97,time,0.0025436085494975978
BND,short,2020-10-28 00:00:00,88.09,2020-12-24 00:00:00,87.99,time,-5.8448159980619904e-05
BND,short,2021-01-07 00:00:00,87.36,2021-03-08 00:00:00,84.96,time,0.02627887667887669
BND,short,2021-03-09 00:00:00,84.93,2021-05-05 00:00:00,85.21,time,-0.004490483479391785
BND,short,2021-05-19 00:00:00,84.91,2021-05-26 00:00:00,85.44691262737025,stop,-0.006822520768830098
BND,short,2021-09-27 00:00:00,85.8,2021-11-22 00:00:00,85.01,time,0.00801380841380834
BND,short,2021-11-23 00:00:00,84.69,2021-11-30 00:00:00,85.49,stop,-0.009925580689236435
BND,short,2021-12-09 00:00:00,85.08,2022-02-07 00:00:00,82.09,time,0.03394974365862931
BND,short,2022-02-08 00:00:00,81.98,2022-04-06 00:00:00,78.01,time,0.04723279468085513
BND,short,2022-04-07 00:00:00,78.1,2022-06-06 00:00:00,76.03,time,0.025310830640408018
BND,short,2022-06-07 00:00:00,75.85,2022-07-28 00:00:00,76.96441641406011,stop,-0.01578681641623241
BND,short,2022-08-25 00:00:00,74.98,2022-10-21 00:00:00,69.14,time,0.07669378585612248
BND,short,2022-10-24 00:00:00,69.48,2022-10-27 00:00:00,70.85429622522737,stop,-0.020239262226728293
BND,short,2022-10-28 00:00:00,70.4,2022-11-16 00:00:00,71.975,stop,-0.02303009559884546
BND,short,2023-02-15 00:00:00,72.715,2023-03-13 00:00:00,73.76401489230571,stop,-0.015163690809686403
BND,short,2023-03-15 00:00:00,73.61,2023-04-05 00:00:00,74.87771203634195,stop,-0.017919627420692686
BND,short,2023-05-23 00:00:00,72.56,2023-07-21 00:00:00,72.7,time,-0.0031230885003761723
BND,short,2023-07-24 00:00:00,72.71,2023-09-19 00:00:00,70.81,time,0.024937555367812454
BND,short,2023-09-20 00:00:00,70.84,2023-11-15 00:00:00,70.22,time,0.007558466654118921
