asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
SPY,long,1994-01-11 00:00:00,47.5625,1994-02-24 00:00:00,46.589790738696195,stop,-0.020851180263943326
SPY,long,1994-08-17 00:00:00,46.703098,1994-10-04 00:00:00,45.60882570022772,stop,-0.023830400693595922
SPY,long,1995-02-03 00:00:00,47.6562,1995-03-21 00:00:00,49.86453599193328,target,0.045938902219087654
SPY,long,1995-03-27 00:00:00,50.296799,1995-05-09 00:00:00,52.83888532001486,target,0.05014171180982836
SPY,long,1995-05-16 00:00:00,52.984299,1995-07-07 00:00:00,55.612942692566584,target,0.049211748049485096
SPY,long,1995-07-10 00:00:00,55.8125,1995-09-05 00:00:00,56.828098,time,0.017796604703247353
SPY,long,1995-09-06 00:00:00,57.234299,1995-11-01 00:00:00,58.2812,time,0.017891496852263388
SPY,long,1995-11-06 00:00:00,59.2187,1995-12-06 00:00:00,62.433925591931356,target,0.05389409277696662
SPY,long,1995-12-07 00:00:00,62.203098,1995-12-18 00:00:00,60.68017174854423,stop,-0.02488312544587028
SPY,long,1996-01-31 00:00:00,63.0,1996-03-28 00:00:00,64.515602,time,0.02365717460317458
SPY,long,1996-05-15 00:00:00,66.781197,1996-07-11 00:00:00,63.878108483160474,stop,-0.043871645421982006
SPY,long,1996-09-16 00:00:00,68.656197,1996-11-11 00:00:00,73.25,time,0.06651024555292491
SPY,long,1996-11-15 00:00:00,74.125,1997-01-15 00:00:00,76.718697,time,0.03459085328836427
SPY,long,1997-01-20 00:00:00,77.75,1997-03-18 00:00:00,80.0,time,0.028538906752411507
SPY,long,1997-05-06 00:00:00,82.968697,1997-07-02 00:00:00,89.5625,time,0.07907338259391956
SPY,long,1997-07-03 00:00:00,91.875,1997-08-29 00:00:00,90.125,time,-0.019447619047619092
SPY,long,1997-10-06 00:00:00,97.3125,1997-10-27 00:00:00,92.03823579888034,stop,-0.05459924676808907
SPY,long,1997-12-08 00:00:00,98.968697,1997-12-19 00:00:00,92.90681459358696,stop,-0.06165050233219753
SPY,long,1998-02-03 00:00:00,100.0,1998-03-25 00:00:00,111.43247527062468,target,0.11392475270624676
SPY,long,1998-04-03 00:00:00,112.343697,1998-04-27 00:00:00,107.69237259734484,stop,-0.041802628957948215
SPY,long,1998-07-07 00:00:00,115.984299,1998-08-04 00:00:00,110.75705117869582,stop,-0.04546858140604164
SPY,long,1998-11-03 00:00:00,111.593697,1998-12-31 00:00:00,123.3125,time,0.10461312632379212
SPY,long,1999-01-07 00:00:00,126.375,1999-03-08 00:00:00,128.281204,time,0.01468371117705254
SPY,long,1999-03-12 00:00:00,131.0,1999-05-10 00:00:00,134.843704,time,0.02894125190839687
SPY,long,1999-07-02 00:00:00,138.125,1999-08-05 00:00:00,130.21882761945687,stop,-0.057639257053705914
SPY,long,1999-11-15 00:00:00,139.843704,2000-01-12 00:00:00,144.593704,time,0.03356649161981569
SPY,long,2000-03-22 00:00:00,149.5625,2000-04-14 00:00:00,137.1435580823832,stop,-0.08343513191887535
