asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EUR,short,1999-05-12 00:00:00,1.0666,1999-07-09 00:00:00,1.0186,time,0.04240396210107967
EUR,short,1999-07-12 00:00:00,1.0139,1999-09-07 00:00:00,1.0581,time,-0.04619289337972298
EUR,short,1999-09-15 00:00:00,1.0385,1999-11-12 00:00:00,1.0315,time,0.0041416405182097635
EUR,short,1999-11-15 00:00:00,1.0315,2000-01-11 00:00:00,1.0322,time,-0.003277473938745437
EUR,short,2000-01-18 00:00:00,1.0121,2000-03-15 00:00:00,0.9696,time,0.03939304745907846
EUR,short,2000-03-16 00:00:00,0.971,2000-05-11 00:00:00,0.9021,time,0.06835892491447372
EUR,short,2000-05-12 00:00:00,0.908,2000-07-11 00:00:00,0.9497,time,-0.04852396070687114
EUR,short,2000-07-31 00:00:00,0.9266,2000-09-26 00:00:00,0.8815,time,0.046073715796968846
EUR,short,2000-09-27 00:00:00,0.8805,2000-11-24 00:00:00,0.8382,time,0.04544203528559399
EUR,short,2000-11-27 00:00:00,0.85,2000-12-29 00:00:00,0.9388,stop,-0.10609242731575386
EUR,short,2001-03-23 00:00:00,0.8926,2001-05-18 00:00:00,0.8774,time,0.014430053749732837
EUR,short,2001-05-21 00:00:00,0.8762,2001-07-18 00:00:00,0.8701,time,0.00436303027440855
EUR,short,2001-11-09 00:00:00,0.8935,2002-01-10 00:00:00,0.8925,time,-0.001479656394522402
EUR,short,2002-01-14 00:00:00,0.8935,2002-03-13 00:00:00,0.877,time,0.015867853398426675
EUR,short,2002-03-28 00:00:00,0.8711,2002-05-23 00:00:00,0.9233,time,-0.06252308430218367
EUR,short,2002-10-18 00:00:00,0.9708,2002-12-17 00:00:00,1.0267,time,-0.06018022675930267
EUR,short,2003-07-17 00:00:00,1.1164,2003-09-12 00:00:00,1.1307,time,-0.015407879596568521
EUR,short,2003-09-17 00:00:00,1.1239,2003-11-14 00:00:00,1.1743,time,-0.04744269789208954
EUR,short,2004-03-18 00:00:00,1.2392,2004-05-13 00:00:00,1.1801,time,0.04509320881844437
EUR,short,2004-05-14 00:00:00,1.1874,2004-07-13 00:00:00,1.2302,time,-0.038643991218135214
EUR,short,2004-08-04 00:00:00,1.2057,2004-09-30 00:00:00,1.2417,time,-0.032457024249756265
EUR,short,2005-02-04 00:00:00,1.2927,2005-04-04 00:00:00,1.2838,time,0.0042859641541494
EUR,short,2005-04-05 00:00:00,1.2842,2005-06-01 00:00:00,1.2232,time,0.04490153877274095
EUR,short,2005-06-02 00:00:00,1.2266,2005-07-29 00:00:00,1.2129,time,0.00857023470166097
EUR,short,2005-08-01 00:00:00,1.2195,2005-09-27 00:00:00,1.2011,time,0.01248930030679619
EUR,short,2005-09-28 00:00:00,1.2016,2005-11-28 00:00:00,1.1804,time,0.015044291901985203
