asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
HYG,long,2009-07-08 00:00:00,75.61,2009-07-20 00:00:00,79.51008850135626,target,0.051181649270681986
HYG,long,2010-01-25 00:00:00,87.24,2010-02-05 00:00:00,85.12936004108235,stop,-0.024593488754214233
HYG,long,2010-04-05 00:00:00,87.65,2010-04-15 00:00:00,89.36631895184192,target,0.019181505440295687
HYG,long,2010-05-06 00:00:00,86.28,2010-05-07 00:00:00,83.75287474214274,stop,-0.02968981522783103
HYG,long,2010-05-10 00:00:00,86.89,2010-05-20 00:00:00,82.27564199705164,stop,-0.05350574292724557
HYG,long,2010-11-17 00:00:00,89.25,2010-12-16 00:00:00,88.9,time,-0.004321568627450967
HYG,long,2011-03-11 00:00:00,91.11,2011-03-15 00:00:00,89.85607472884918,stop,-0.014162762278024531
HYG,long,2011-03-16 00:00:00,90.36,2011-03-28 00:00:00,91.9,target,0.016642939353696384
HYG,long,2011-06-02 00:00:00,91.36,2011-06-10 00:00:00,90.03056884458418,stop,-0.014951566937563653
HYG,long,2011-06-17 00:00:00,88.89,2011-06-30 00:00:00,90.89929435858399,target,0.02220427898058248
HYG,long,2011-08-03 00:00:00,89.61,2011-08-04 00:00:00,87.52310753392727,stop,-0.023688611383469716
HYG,long,2011-08-05 00:00:00,87.44,2011-08-08 00:00:00,83.87,stop,-0.041227996340347614
HYG,long,2011-08-09 00:00:00,84.25,2011-09-07 00:00:00,86.59,time,0.02737448071216626
HYG,long,2012-04-05 00:00:00,89.87,2012-05-04 00:00:00,90.94,time,0.011506086569489106
HYG,long,2012-05-16 00:00:00,89.81,2012-05-17 00:00:00,88.10357247113431,stop,-0.019400417869565634
HYG,long,2012-05-18 00:00:00,88.01,2012-06-18 00:00:00,89.09,time,0.011871332803090563
HYG,long,2013-02-05 00:00:00,93.24,2013-03-06 00:00:00,94.03,time,0.008072758472758635
HYG,long,2013-05-29 00:00:00,94.04,2013-06-03 00:00:00,92.38,stop,-0.018052062951935444
HYG,long,2013-06-04 00:00:00,92.5,2013-06-20 00:00:00,90.60274658547026,stop,-0.020910847724645843
HYG,long,2013-06-25 00:00:00,89.5,2013-07-11 00:00:00,92.49645250027302,target,0.033079916204167906
HYG,long,2014-02-04 00:00:00,92.75,2014-02-14 00:00:00,93.87415784385851,target,0.01172030020332633
