date,combined_equity
2017-08-17,1.0
2017-08-18,1.0
2017-08-19,1.0
2017-08-20,1.0
2017-08-21,1.0
2017-08-22,1.0
2017-08-23,1.0
2017-08-24,1.0
2017-08-25,1.0
2017-08-26,1.0
2017-08-27,1.0
2017-08-28,1.0
2017-08-29,1.0
2017-08-30,1.0
2017-08-31,1.0
2017-09-01,1.0
2017-09-02,1.0
2017-09-03,1.0
2017-09-04,1.0
2017-09-05,1.0
2017-09-06,1.0
2017-09-07,1.0
2017-09-08,1.0
2017-09-09,1.0
2017-09-10,1.0
2017-09-11,1.0
2017-09-12,1.0
2017-09-13,1.0
2017-09-14,1.0
2017-09-15,1.0
2017-09-16,1.0
2017-09-17,1.0
2017-09-18,1.0
2017-09-19,1.0
2017-09-20,1.0
2017-09-21,1.0
2017-09-22,1.0
2017-09-23,1.0
2017-09-24,1.0
2017-09-25,1.0
2017-09-26,1.0
2017-09-27,1.0
2017-09-28,1.0
2017-09-29,1.0
2017-09-30,1.0
2017-10-01,1.0
2017-10-02,1.0
2017-10-03,1.0
2017-10-04,1.0
2017-10-05,1.0
2017-10-06,1.0
2017-10-07,1.0
2017-10-08,1.0
2017-10-09,1.0
2017-10-10,1.0
2017-10-11,1.0
2017-10-12,1.0
2017-10-13,1.0
2017-10-14,1.0
2017-10-15,1.0
2017-10-16,1.0
2017-10-17,1.0
2017-10-18,1.0
2017-10-19,1.0
2017-10-20,1.0
2017-10-21,1.0
2017-10-22,1.0
2017-10-23,1.0
2017-10-24,1.0
2017-10-25,1.0
2017-10-26,1.0
2017-10-27,1.0
2017-10-28,1.0
2017-10-29,1.0
2017-10-30,1.0
2017-10-31,1.0
2017-11-01,1.0
2017-11-02,1.0
2017-11-03,1.0
2017-11-04,1.0
2017-11-05,1.0
2017-11-06,1.0
2017-11-07,1.0
2017-11-08,1.0
2017-11-09,1.0
2017-11-10,1.0
2017-11-11,1.0
2017-11-12,1.0
2017-11-13,1.0
2017-11-14,1.0
2017-11-15,1.0
2017-11-16,1.0
2017-11-17,1.0
2017-11-18,1.0
2017-11-19,1.0
2017-11-20,1.0
2017-11-21,1.0
2017-11-22,1.0
2017-11-23,1.0
2017-11-24,1.0
2017-11-25,1.0
2017-11-26,1.0
2017-11-27,1.0
2017-11-28,1.0
2017-11-29,1.0
2017-11-30,1.0
2017-12-01,1.0
2017-12-02,1.0
2017-12-03,1.0
2017-12-04,1.0
2017-12-05,1.0
2017-12-06,1.0
2017-12-07,1.0
2017-12-08,1.0
2017-12-09,1.0
2017-12-10,1.0
2017-12-11,1.0
2017-12-12,1.0
2017-12-13,1.0
2017-12-14,1.0
2017-12-15,1.0
2017-12-16,1.0
2017-12-17,1.0
2017-12-18,1.0
2017-12-19,1.0
2017-12-20,1.0
2017-12-21,1.0
2017-12-22,1.0
2017-12-23,1.0
2017-12-24,1.0
2017-12-25,1.0021560747575917
2017-12-26,1.0064539244990303
2017-12-27,1.0057577690037545
2017-12-28,1.002682812549038
2017-12-29,1.0038583689639333
2017-12-30,0.9990476842039646
2017-12-31,1.0028138923022913
2018-01-01,1.0029804451503168
2018-01-02,1.0083469073494666
2018-01-03,1.0113432582978614
2018-01-04,1.0117618943354407
2018-01-05,1.0153975295297153
2018-01-06,1.0170557456370921
2018-01-07,1.0195513535533127
2018-01-08,1.0179199061495923
2018-01-09,1.0213527826855289
2018-01-10,1.0221519427815993
2018-01-11,1.0195227314386912
2018-01-12,1.0203126563335885
2018-01-13,1.0210533478351997
2018-01-14,1.019894991996566
2018-01-15,1.019997335676463
2018-01-16,1.0158368775478879
2018-01-17,1.0159768081813652
2018-01-18,1.0159345405882818
2018-01-19,1.0167430304438994
2018-01-20,1.018831131492805
2018-01-21,1.0168297404726632
2018-01-22,1.0156163201410269
2018-01-23,1.0156779879604658
2018-01-24,1.01654604959157
2018-01-25,1.0162706956070988
2018-01-26,1.0161347364253204
2018-01-27,1.016768277529701
2018-01-28,1.0173812521877825
2018-01-29,1.0163900440345484
2018-01-30,1.0147928112637061
2018-01-31,1.014867811813849
2018-02-01,1.013196366479312
2018-02-02,1.0126424277659323
2018-02-03,1.0131576605849748
2018-02-04,1.0115578116991244
2018-02-05,1.0098705801763999
2018-02-06,1.0098705801763999
