asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
AUD,short,1971-08-24 00:00:00,1.1363,1971-09-22 00:00:00,1.15,time,-0.013506100461165916
AUD,short,1971-12-10 00:00:00,1.1704,1972-01-11 00:00:00,1.191,time,-0.019050245519755496
AUD,short,1972-08-09 00:00:00,1.191,1972-09-07 00:00:00,1.191,time,-0.0014494252873563217
AUD,long,1972-10-17 00:00:00,1.19,1972-11-16 00:00:00,1.191,time,0.0005403361344537785
AUD,long,1972-11-21 00:00:00,1.191,1972-12-20 00:00:00,1.191,time,-0.00030000000000000003
AUD,short,1972-12-27 00:00:00,1.273,1973-01-25 00:00:00,1.271,time,0.00012166662152039882
AUD,short,1973-02-15 00:00:00,1.417,1973-03-19 00:00:00,1.41,time,0.003490588826969775
AUD,short,1973-06-25 00:00:00,1.419,1973-07-24 00:00:00,1.4115,time,0.0038359869748001863
AUD,short,1973-09-11 00:00:00,1.486,1973-10-10 00:00:00,1.4825,time,0.0009058909979734898
AUD,short,1973-12-10 00:00:00,1.4885,1974-01-09 00:00:00,1.4825,time,0.002581478306866102
AUD,long,1974-01-14 00:00:00,1.48,1974-02-11 00:00:00,1.485,time,0.0030783783783785105
AUD,long,1974-05-20 00:00:00,1.485,1974-06-18 00:00:00,1.485,time,-0.00030000000000000003
AUD,long,1974-06-24 00:00:00,1.48,1974-07-23 00:00:00,1.475,time,-0.0036783783783782883
AUD,long,1974-07-24 00:00:00,1.475,1974-08-21 00:00:00,1.4825,time,0.004784745762711673
AUD,long,1974-09-26 00:00:00,1.3065,1974-10-25 00:00:00,1.308,time,0.0008481056257176547
AUD,short,1975-01-02 00:00:00,1.324,1975-01-30 00:00:00,1.3375,time,-0.011645799909712663
AUD,short,1975-02-28 00:00:00,1.364,1975-03-28 00:00:00,1.351,time,0.008081366501500086
AUD,long,1975-06-26 00:00:00,1.3285,1975-07-25 00:00:00,1.3,time,-0.02175276627775683
AUD,long,1976-03-09 00:00:00,1.2467,1976-04-06 00:00:00,1.2375,time,-0.007679481832036516
AUD,long,1976-06-07 00:00:00,1.2205,1976-07-06 00:00:00,1.2403,time,0.015922859483818073
AUD,long,1976-10-20 00:00:00,1.2318,1976-11-19 00:00:00,1.2365,time,0.0035155544731286462
AUD,long,1976-11-30 00:00:00,1.0099,1976-12-28 00:00:00,1.088,time,0.07703438954351924
AUD,short,1977-06-14 00:00:00,1.1086,1977-07-13 00:00:00,1.123,time,-0.01443878123179061
AUD,short,1977-07-15 00:00:00,1.1203,1977-08-12 00:00:00,1.1025,time,0.014439175980161355
AUD,short,1977-11-02 00:00:00,1.1295,1977-12-05 00:00:00,1.1305,time,-0.0023347727862497846
AUD,short,1978-01-05 00:00:00,1.1375,1978-02-02 00:00:00,1.1365,time,-0.0005703044082355347
AUD,short,1978-03-30 00:00:00,1.142,1978-04-27 00:00:00,1.135,time,0.004680171910541974
AUD,short,1978-10-19 00:00:00,1.1674,1978-11-17 00:00:00,1.1405,time,0.021593233612763482
AUD,short,1979-06-26 00:00:00,1.117,1979-07-25 00:00:00,1.1352,time,-0.01774306897580742
AUD,long,1979-10-10 00:00:00,1.1197,1979-11-08 00:00:00,1.094,time,-0.023252576583013197
AUD,long,1980-03-18 00:00:00,1.0875,1980-04-15 00:00:00,1.0922,time,0.0040218390804597996
AUD,short,1980-09-03 00:00:00,1.1695,1980-10-01 00:00:00,1.1749,time,-0.006066783132589416
AUD,short,1981-01-06 00:00:00,1.189,1981-02-03 00:00:00,1.1642,time,0.019408438463695152
AUD,long,1981-08-05 00:00:00,1.1278,1981-09-02 00:00:00,1.1485,time,0.018054318141514668
AUD,long,1982-02-01 00:00:00,1.0957,1982-03-03 00:00:00,1.0705,time,-0.023298996075567992
AUD,long,1982-06-15 00:00:00,1.0333,1982-07-14 00:00:00,1.0118,time,-0.021107122810413305
AUD,long,1983-03-09 00:00:00,0.8528,1983-04-06 00:00:00,0.8668,time,0.016116510318949305
AUD,short,1983-08-23 00:00:00,0.8884,1983-09-21 00:00:00,0.892,time,-0.005501654013155456
AUD,short,1983-09-26 00:00:00,0.8984,1983-10-25 00:00:00,0.9193,time,-0.0247130049845959
AUD,long,1983-12-20 00:00:00,0.8775,1984-01-19 00:00:00,0.9008,time,0.026252706552706694
AUD,short,1984-02-17 00:00:00,0.9454,1984-03-19 00:00:00,0.9554,time,-0.01202695860658627
AUD,long,1984-06-26 00:00:00,0.861,1984-07-25 00:00:00,0.8339,time,-0.03177502903600463
AUD,long,1985-01-08 00:00:00,0.8118,1985-02-06 00:00:00,0.7806,time,-0.03873311160384333
AUD,long,1985-02-08 00:00:00,0.77,1985-03-12 00:00:00,0.696,time,-0.09640389610389613
AUD,short,1985-07-18 00:00:00,0.7127,1985-08-15 00:00:00,0.6965,time,0.02128103633745075
AUD,long,1985-11-07 00:00:00,0.6645,1985-12-09 00:00:00,0.6786,time,0.02091896162528225
AUD,short,1986-01-23 00:00:00,0.7136,1986-02-21 00:00:00,0.7025,time,0.014105507448069642
AUD,short,1986-04-29 00:00:00,0.7401,1986-05-28 00:00:00,0.7212,time,0.02408766429513258
AUD,long,1986-06-26 00:00:00,0.6673,1986-07-25 00:00:00,0.6015,time,-0.09890632399220736
AUD,short,1986-12-17 00:00:00,0.6645,1987-01-16 00:00:00,0.6521,time,0.01721122181572869
AUD,short,1987-03-03 00:00:00,0.6786,1987-03-31 00:00:00,0.7045,time,-0.039616239316239435
AUD,long,1987-07-08 00:00:00,0.7059,1987-08-05 00:00:00,0.7018,time,-0.006108188128630154
AUD,long,1987-10-29 00:00:00,0.6695,1987-11-30 00:00:00,0.705,time,0.05272464525765482
AUD,short,1988-03-08 00:00:00,0.731,1988-04-05 00:00:00,0.7419,time,-0.01636050599871071
