asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EUR,short,1999-04-14 00:00:00,1.0779,1999-06-10 00:00:00,1.0477,time,0.025418590746374654
EUR,short,1999-06-11 00:00:00,1.0516,1999-08-09 00:00:00,1.0694,time,-0.019525438631007634
EUR,long,1999-08-10 00:00:00,1.0752,1999-10-06 00:00:00,1.0704,time,-0.004764285714285587
EUR,long,1999-10-07 00:00:00,1.0721,1999-12-07 00:00:00,1.0222,time,-0.0468441656561888
EUR,short,1999-12-08 00:00:00,1.0263,2000-02-03 00:00:00,0.9887,time,0.03403761049904742
EUR,short,2000-02-04 00:00:00,0.976,2000-04-03 00:00:00,0.956,time,0.017892952703975847
EUR,short,2000-04-04 00:00:00,0.9588,2000-05-31 00:00:00,0.9328,time,0.02451837929595902
EUR,short,2000-06-01 00:00:00,0.9307,2000-07-28 00:00:00,0.9246,time,0.003955355936515423
EUR,short,2000-07-31 00:00:00,0.9266,2000-09-26 00:00:00,0.8815,time,0.046073715796968846
EUR,short,2000-09-27 00:00:00,0.8805,2000-11-24 00:00:00,0.8382,time,0.04544203528559399
EUR,short,2000-11-27 00:00:00,0.85,2000-12-29 00:00:00,0.9388,stop,-0.10609242731575386
EUR,long,2001-01-02 00:00:00,0.9465,2001-03-01 00:00:00,0.9291,time,-0.018683518225039587
EUR,short,2001-03-02 00:00:00,0.934,2001-04-27 00:00:00,0.8924,time,0.041940763986315306
EUR,short,2001-04-30 00:00:00,0.8874,2001-06-26 00:00:00,0.8623,time,0.025686026594545892
EUR,short,2001-06-27 00:00:00,0.8621,2001-08-23 00:00:00,0.9166,time,-0.0658165747366427
EUR,long,2001-08-24 00:00:00,0.9116,2001-10-24 00:00:00,0.8925,time,-0.021252172005265448
EUR,short,2001-10-25 00:00:00,0.8965,2001-12-24 00:00:00,0.8773,time,0.018817769614913667
EUR,short,2001-12-26 00:00:00,0.8778,2002-02-25 00:00:00,0.8713,time,0.004806025251215882
EUR,short,2002-02-26 00:00:00,0.8682,2002-04-23 00:00:00,0.8897,time,-0.027362729865198714
EUR,long,2002-04-24 00:00:00,0.8915,2002-06-20 00:00:00,0.9646,time,0.0816966348850254
EUR,long,2002-06-21 00:00:00,0.9705,2002-08-19 00:00:00,0.9775,time,0.006912776919113928
EUR,long,2002-08-20 00:00:00,0.9779,2002-10-17 00:00:00,0.9718,time,-0.0065378566315574035
EUR,short,2002-10-18 00:00:00,0.9708,2002-12-17 00:00:00,1.0267,time,-0.06018022675930267
EUR,long,2002-12-18 00:00:00,1.0254,2003-02-18 00:00:00,1.0708,time,0.043975404720109044
EUR,long,2003-02-19 00:00:00,1.0744,2003-04-16 00:00:00,1.0872,time,0.01161362620997749
EUR,long,2003-04-17 00:00:00,1.0907,2003-06-13 00:00:00,1.183,time,0.08432455303933259
EUR,long,2003-06-16 00:00:00,1.1843,2003-08-12 00:00:00,1.1304,time,-0.045812116862281406
EUR,short,2003-08-13 00:00:00,1.1317,2003-10-09 00:00:00,1.1695,time,-0.03599992859892397
EUR,long,2003-10-10 00:00:00,1.1812,2003-12-10 00:00:00,1.2215,time,0.033817846258042704
EUR,long,2003-12-11 00:00:00,1.2164,2004-02-10 00:00:00,1.2727,time,0.04598411706675428
EUR,long,2004-02-11 00:00:00,1.2815,2004-04-08 00:00:00,1.2088,time,-0.0570303940694498
EUR,short,2004-04-09 00:00:00,1.2102,2004-06-07 00:00:00,1.232,time,-0.020612402053807093
EUR,long,2004-06-08 00:00:00,1.2273,2004-08-04 00:00:00,1.2057,time,-0.017899608897580056
EUR,short,2004-08-05 00:00:00,1.205,2004-10-01 00:00:00,1.24,time,-0.03164449372823951
EUR,long,2004-10-04 00:00:00,1.2274,2004-12-02 00:00:00,1.3268,time,0.08068419423170933
EUR,long,2004-12-03 00:00:00,1.339,2005-01-31 00:00:00,1.3049,time,-0.025766766243465335
EUR,short,2005-02-01 00:00:00,1.3017,2005-03-30 00:00:00,1.2944,time,0.0030092004355047972
EUR,short,2005-03-31 00:00:00,1.2969,2005-05-26 00:00:00,1.2517,time,0.03225348962113895
EUR,short,2005-05-27 00:00:00,1.2568,2005-07-26 00:00:00,1.2007,time,0.04203832319995305
EUR,short,2005-07-27 00:00:00,1.2048,2005-09-22 00:00:00,1.2153,time,-0.011313990016943767
EUR,long,2005-09-23 00:00:00,1.2077,2005-11-22 00:00:00,1.1737,time,-0.028452686925561056
EUR,short,2005-11-23 00:00:00,1.1799,2006-01-24 00:00:00,1.2287,time,-0.04395828781515664
EUR,long,2006-01-25 00:00:00,1.2252,2006-03-23 00:00:00,1.1984,time,-0.022173979758406882
EUR,long,2006-03-24 00:00:00,1.2034,2006-05-19 00:00:00,1.275,time,0.05919808874854567
EUR,long,2006-05-22 00:00:00,1.285,2006-07-19 00:00:00,1.256,time,-0.02286809338521393
EUR,short,2006-07-20 00:00:00,1.2639,2006-09-15 00:00:00,1.2648,time,-0.0033109322267420496
EUR,long,2006-09-18 00:00:00,1.2671,2006-11-14 00:00:00,1.2812,time,0.01082777207797322
EUR,long,2006-11-15 00:00:00,1.2808,2007-01-16 00:00:00,1.2918,time,0.008288382261086824
EUR,long,2007-01-17 00:00:00,1.2948,2007-03-15 00:00:00,1.3249,time,0.022946833487797323
EUR,long,2007-03-16 00:00:00,1.3307,2007-05-11 00:00:00,1.3519,time,0.015631464642669367
EUR,long,2007-05-14 00:00:00,1.3544,2007-07-11 00:00:00,1.3757,time,0.015426520968694535
EUR,long,2007-07-12 00:00:00,1.3776,2007-09-06 00:00:00,1.3697,time,-0.006034610917537797
EUR,short,2007-09-07 00:00:00,1.3772,2007-11-02 00:00:00,1.4481,time,-0.054080116912209035
EUR,long,2007-11-05 00:00:00,1.4469,2008-01-03 00:00:00,1.4736,time,0.018153244868339212
EUR,long,2008-01-04 00:00:00,1.4786,2008-03-04 00:00:00,1.521,time,0.028375774381171413
EUR,long,2008-03-05 00:00:00,1.5282,2008-04-30 00:00:00,1.5568,time,0.018414827902106988
EUR,long,2008-05-01 00:00:00,1.5458,2008-06-27 00:00:00,1.5749,time,0.018525203777979025
EUR,short,2008-06-30 00:00:00,1.5748,2008-08-26 00:00:00,1.466,time,0.06648928760156371
EUR,short,2008-08-27 00:00:00,1.4684,2008-10-24 00:00:00,1.2639,time,0.13666837906298823
EUR,short,2008-10-27 00:00:00,1.2446,2008-12-16 00:00:00,1.381,stop,-0.11184746666518919
EUR,short,2008-12-17 00:00:00,1.4358,2009-02-17 00:00:00,1.2571,time,0.12186138065526354
EUR,short,2009-02-18 00:00:00,1.2547,2009-04-15 00:00:00,1.3182,time,-0.053208558074513516
EUR,long,2009-04-16 00:00:00,1.3197,2009-06-12 00:00:00,1.404,time,0.06357815412593767
EUR,long,2009-06-15 00:00:00,1.3784,2009-08-10 00:00:00,1.4143,time,0.02574468949506655
EUR,long,2009-08-11 00:00:00,1.4141,2009-10-07 00:00:00,1.4675,time,0.03746253447422406
EUR,long,2009-10-08 00:00:00,1.4777,2009-12-08 00:00:00,1.4741,time,-0.002736218447587457
EUR,long,2009-12-09 00:00:00,1.4725,2010-02-08 00:00:00,1.3699,time,-0.06997741935483873
EUR,short,2010-02-09 00:00:00,1.3795,2010-04-07 00:00:00,1.3364,time,0.028644353484729164
EUR,short,2010-04-08 00:00:00,1.336,2010-06-04 00:00:00,1.1998,time,0.09934725720971861
EUR,short,2010-06-07 00:00:00,1.1959,2010-08-02 00:00:00,1.3174,stop,-0.10413850281565451
EUR,long,2010-08-03 00:00:00,1.3239,2010-09-29 00:00:00,1.3638,time,0.029838227962836826
EUR,long,2010-09-30 00:00:00,1.3601,2010-11-30 00:00:00,1.3036,time,-0.04184106315712081
EUR,short,2010-12-01 00:00:00,1.3149,2011-01-31 00:00:00,1.3715,time,-0.04564394906128954
EUR,long,2011-02-01 00:00:00,1.3793,2011-03-30 00:00:00,1.4095,time,0.021595164213731498
EUR,long,2011-03-31 00:00:00,1.4183,2011-05-26 00:00:00,1.4088,time,-0.006998159768737111
EUR,short,2011-05-27 00:00:00,1.4287,2011-07-26 00:00:00,1.4495,time,-0.017157540292637934
EUR,short,2011-07-27 00:00:00,1.4373,2011-09-22 00:00:00,1.3446,time,0.06189707929379086
EUR,short,2011-09-23 00:00:00,1.3518,2011-11-22 00:00:00,1.35,time,-0.0012672926519431329
EUR,short,2011-11-23 00:00:00,1.3347,2012-01-24 00:00:00,1.3004,time,0.023099808299940856
EUR,short,2012-01-25 00:00:00,1.2978,2012-03-22 00:00:00,1.3194,time,-0.019242401198845564
EUR,long,2012-03-23 00:00:00,1.3263,2012-05-18 00:00:00,1.2721,time,-0.04116556585991108
EUR,short,2012-05-21 00:00:00,1.2769,2012-07-18 00:00:00,1.2261,time,0.03718500094067612
EUR,short,2012-07-19 00:00:00,1.2257,2012-09-14 00:00:00,1.3142,time,-0.0748024893117608
EUR,long,2012-09-17 00:00:00,1.3125,2012-11-14 00:00:00,1.274,time,-0.029633333333333324
EUR,short,2012-11-15 00:00:00,1.2783,2013-01-15 00:00:00,1.3342,time,-0.04632880441966291
EUR,long,2013-01-16 00:00:00,1.3305,2013-03-15 00:00:00,1.3076,time,-0.017511574596016523
