asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
MDY,long,1996-04-15 00:00:00,45.38,1996-05-13 00:00:00,47.36,time,0.043231555751432185
MDY,long,1996-06-28 00:00:00,45.75,1996-07-15 00:00:00,43.97208741125891,stop,-0.039261477349531934
MDY,long,1997-03-20 00:00:00,50.5,1997-04-02 00:00:00,48.34853366004205,stop,-0.04300329386055339
MDY,long,1997-04-04 00:00:00,48.25,1997-05-02 00:00:00,50.75,time,0.05141347150259064
MDY,long,1997-10-28 00:00:00,58.38,1997-11-25 00:00:00,62.58,time,0.07154244604316547
MDY,long,1998-01-12 00:00:00,59.39,1998-02-10 00:00:00,65.66,time,0.10517332884323945
MDY,long,1998-05-27 00:00:00,68.05,1998-06-24 00:00:00,68.95,time,0.012825569434239582
MDY,long,1999-08-11 00:00:00,73.69,1999-09-09 00:00:00,75.88,time,0.0293190934997964
MDY,long,2000-10-11 00:00:00,91.31,2000-11-08 00:00:00,96.81,time,0.05983436644398195
MDY,long,2002-06-04 00:00:00,94.47,2002-06-14 00:00:00,88.99130904211297,stop,-0.05839397647810966
MDY,long,2004-05-10 00:00:00,104.23,2004-06-08 00:00:00,110.2,time,0.05687717547730982
MDY,long,2005-04-15 00:00:00,116.27,2005-05-13 00:00:00,117.58,time,0.010866878816547755
MDY,long,2005-09-22 00:00:00,126.86,2005-10-13 00:00:00,122.5048647127178,stop,-0.03473024820496766
MDY,long,2006-05-18 00:00:00,140.65,2006-06-08 00:00:00,134.20923077733588,stop,-0.04619288462612252
MDY,long,2007-07-27 00:00:00,157.65,2007-08-15 00:00:00,149.56150279130634,stop,-0.051706674333610356
MDY,long,2010-02-09 00:00:00,127.31,2010-03-10 00:00:00,140.37,time,0.10218424318592408
MDY,long,2010-05-10 00:00:00,143.24,2010-06-08 00:00:00,131.26,time,-0.08403585590617162
MDY,long,2011-06-07 00:00:00,173.1,2011-07-06 00:00:00,180.72,time,0.04362079722703634
MDY,long,2012-04-11 00:00:00,174.23,2012-05-09 00:00:00,174.06,time,-0.0013757217471157986
MDY,long,2012-05-17 00:00:00,171.28,2012-06-04 00:00:00,161.83819218568942,stop,-0.05552498723908554
MDY,long,2013-06-24 00:00:00,204.27,2013-07-23 00:00:00,226.12,time,0.10656627013266746
MDY,long,2013-09-03 00:00:00,218.53,2013-10-01 00:00:00,225.99,time,0.033737189401912906
MDY,long,2014-02-04 00:00:00,231.29,2014-03-05 00:00:00,252.9,time,0.09303248735353882
MDY,long,2014-04-11 00:00:00,241.47,2014-05-12 00:00:00,247.5,time,0.024572046216921394
MDY,long,2014-08-01 00:00:00,248.78,2014-08-29 00:00:00,261.26,time,0.04976480424471426
MDY,long,2015-06-30 00:00:00,274.61,2015-07-29 00:00:00,269.45,time,-0.019190284403335745
MDY,long,2016-06-28 00:00:00,259.8,2016-07-27 00:00:00,283.14,time,0.08943833718244805
MDY,long,2016-09-12 00:00:00,277.33,2016-10-10 00:00:00,280.75,time,0.011931878988930179
MDY,long,2016-11-02 00:00:00,271.19,2016-11-21 00:00:00,293.3,target,0.08112955492459158
MDY,long,2017-08-11 00:00:00,310.59,2017-09-11 00:00:00,315.97,time,0.016921871277246713
MDY,long,2018-02-06 00:00:00,328.99,2018-03-07 00:00:00,346.41,time,0.05254993768807577
MDY,long,2018-10-05 00:00:00,360.61,2018-10-10 00:00:00,349.00799932559795,stop,-0.0325732638429385
MDY,long,2019-08-13 00:00:00,340.6,2019-09-11 00:00:00,354.38,time,0.04005801526717541
MDY,long,2020-09-23 00:00:00,333.75,2020-10-21 00:00:00,361.98,time,0.08418426966292132
MDY,long,2021-06-21 00:00:00,478.53,2021-07-20 00:00:00,469.89,time,-0.018455294338912843
MDY,long,2021-09-21 00:00:00,482.55,2021-10-19 00:00:00,503.75,time,0.04353327116361001
