asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
SHY,long,2004-10-12 00:00:00,82.01,2004-11-08 00:00:00,81.65241646895032,stop,-0.0047602430319434895
SHY,long,2005-06-02 00:00:00,81.14,2005-06-07 00:00:00,81.15,signal,-0.0002767562238106699
SHY,long,2005-06-27 00:00:00,81.25,2005-07-01 00:00:00,80.96939762813645,stop,-0.003853567653705303
SHY,long,2005-09-06 00:00:00,80.9,2005-09-13 00:00:00,80.85,signal,-0.0010180469715699743
SHY,long,2006-08-01 00:00:00,79.69,2006-08-07 00:00:00,79.77,signal,0.000603890074036784
SHY,long,2006-08-10 00:00:00,79.87,2007-01-05 00:00:00,80.02,signal,0.0014780518342305097
SHY,long,2007-01-08 00:00:00,80.06,2007-01-12 00:00:00,79.95,signal,-0.001773969522857843
SHY,long,2007-02-23 00:00:00,80.13,2007-04-12 00:00:00,80.1,signal,-0.0007743916136278446
SHY,long,2007-04-20 00:00:00,80.26,2007-05-07 00:00:00,80.12,signal,-0.002144330924495441
SHY,long,2008-09-15 00:00:00,83.7,2008-09-19 00:00:00,83.06,stop,-0.00804635603345276
SHY,long,2009-09-01 00:00:00,83.84,2009-09-18 00:00:00,83.4613486370465,stop,-0.004916356905456931
SHY,long,2010-05-10 00:00:00,83.5,2010-11-18 00:00:00,84.16,signal,0.007504191616766365
SHY,long,2010-11-19 00:00:00,84.17,2010-12-02 00:00:00,84.06,signal,-0.001706878935487643
SHY,long,2011-04-27 00:00:00,84.01,2011-12-06 00:00:00,84.48,signal,0.005194572074753001
SHY,long,2011-12-13 00:00:00,84.52,2011-12-20 00:00:00,84.52,signal,-0.0004
SHY,long,2012-01-30 00:00:00,84.57,2012-02-06 00:00:00,84.52,signal,-0.000991226203145334
SHY,long,2012-04-30 00:00:00,84.47,2012-05-03 00:00:00,84.43,signal,-0.0008735409020952818
SHY,long,2012-05-09 00:00:00,84.46,2012-05-18 00:00:00,84.39,signal,-0.0012287946957138414
SHY,long,2012-06-04 00:00:00,84.46,2012-06-13 00:00:00,84.4,signal,-0.0011103954534689593
SHY,long,2012-07-13 00:00:00,84.45,2012-08-21 00:00:00,84.39,signal,-0.001110479573712286
SHY,long,2012-08-24 00:00:00,84.45,2012-10-11 00:00:00,84.43,signal,-0.0006368265245706879
SHY,long,2012-11-14 00:00:00,84.44,2012-11-27 00:00:00,84.4,signal,-0.0008737091425863759
SHY,long,2012-12-06 00:00:00,84.46,2012-12-20 00:00:00,84.42,signal,-0.0008735969689793062
SHY,long,2013-01-24 00:00:00,84.45,2013-01-28 00:00:00,84.37,stop,-0.001347306098282974
SHY,long,2013-02-11 00:00:00,84.43,2013-02-14 00:00:00,84.4,signal,-0.0007553239369892269
SHY,long,2013-02-27 00:00:00,84.46,2013-03-12 00:00:00,84.42,signal,-0.0008735969689793062
SHY,long,2013-03-19 00:00:00,84.46,2013-04-01 00:00:00,84.39,stop,-0.0012287946957138414
SHY,long,2013-09-25 00:00:00,84.41,2013-10-15 00:00:00,84.37,signal,-0.0008738775026654762
SHY,long,2014-06-27 00:00:00,84.56,2014-07-08 00:00:00,84.45,signal,-0.0017008514664143433
SHY,long,2014-07-15 00:00:00,84.5,2014-07-18 00:00:00,84.5,signal,-0.0004
SHY,long,2014-08-07 00:00:00,84.58,2014-09-10 00:00:00,84.43,signal,-0.002173468905178377
SHY,long,2014-09-29 00:00:00,84.53,2014-10-13 00:00:00,85.02876212458952,target,0.005500415528090841
SHY,long,2016-01-22 00:00:00,84.71,2016-03-10 00:00:00,84.7,signal,-0.0005180498170226807
SHY,long,2016-03-21 00:00:00,84.83,2016-08-31 00:00:00,85.0,signal,0.0016040080160321772
SHY,long,2016-09-28 00:00:00,85.07,2016-10-05 00:00:00,84.87665023095758,stop,-0.00267283142168111
SHY,long,2017-04-18 00:00:00,84.65,2017-05-04 00:00:00,84.44701420278443,stop,-0.0027979420816960808
SHY,long,2017-05-17 00:00:00,84.59,2017-07-03 00:00:00,84.40281187175822,stop,-0.0026128871999265167
SHY,long,2017-07-19 00:00:00,84.53,2017-09-20 00:00:00,84.54,signal,-0.0002816988051579813
SHY,long,2018-08-24 00:00:00,83.29,2018-08-30 00:00:00,83.28,signal,-0.0005200624324649846
SHY,long,2018-09-04 00:00:00,83.2,2018-09-05 00:00:00,83.19,signal,-0.000520192307692335
SHY,long,2019-11-19 00:00:00,84.73,2019-12-03 00:00:00,84.72,signal,-0.0005180219520831027
SHY,long,2020-01-23 00:00:00,84.84,2020-02-26 00:00:00,85.32837562380556,target,0.005356431209400725
SHY,long,2021-08-03 00:00:00,86.31,2021-08-09 00:00:00,86.1972999589768,stop,-0.0017057587883582577
