asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
ETHUSD,long,2024-01-08,2221.42,2024-01-28,2267.94,time,0.017941559903125074,0.18364173759858535
BTCUSD,long,2024-01-09,46951.04,2024-01-12,42420.46610125534,stop,-0.09949570912049366,0.20726310197924055
BTCUSD,long,2024-01-13,42782.74,2024-02-02,43082.95,time,0.004017082122369844,0.14739083136345768
ETHUSD,long,2024-01-29,2256.9,2024-02-18,2785.92,time,0.2314011697461119,0.18070196415694462
BTCUSD,long,2024-02-03,43199.99,2024-02-23,51288.42,time,0.1842322192667175,0.22573279683246164
ETHUSD,long,2024-02-19,2881.2,2024-03-10,3905.2,time,0.352407469110093,0.23512110148207555
BTCUSD,long,2024-02-24,50744.15,2024-03-15,71388.94,time,0.4038407885440981,0.2687218188125192
ETHUSD,long,2024-03-11,3878.47,2024-03-17,3433.799082496267,stop,-0.11765111693624875,0.17444226043712172
BTCUSD,long,2024-03-16,69499.84,2024-04-05,68487.8,time,-0.017561760142181578,0.15916243476601424
ETHUSD,long,2024-03-18,3644.7,2024-03-20,3089.109132317729,stop,-0.15543802444159216,0.13120086063345143
ETHUSD,long,2024-03-21,3516.53,2024-04-10,3506.4,time,-0.005880680671002445,0.11242506931776816
BTCUSD,long,2024-04-06,67820.63,2024-04-26,64498.33,time,-0.05198656942585178,0.16013745510754074
ETHUSD,long,2024-04-11,3545.64,2024-04-13,3044.807974235354,stop,-0.14425292634465037,0.14158998696565736
ETHUSD,long,2024-04-14,3007.01,2024-05-04,3102.61,time,0.02879237847562866,0.10396121611214221
BTCUSD,long,2024-04-27,63770.0,2024-05-17,65235.21,time,0.01997647796769642,0.1598616621787481
ETHUSD,short,2024-05-05,3117.24,2024-05-20,3557.409240979355,stop,-0.1442047968649688,0.1416382477369064
BTCUSD,short,2024-05-18,67024.0,2024-06-07,70799.06,time,-0.05932400334208643,0.1952142593357896
ETHUSD,short,2024-05-21,3661.79,2024-06-10,3706.4,time,-0.015182566449741915,0.1700377136154132
BTCUSD,long,2024-06-08,69355.6,2024-06-21,63655.54482652489,stop,-0.08518593990211476,0.2433506269298669
ETHUSD,long,2024-06-11,3667.85,2024-06-24,3334.7212722450195,stop,-0.09382397801299958,0.2202061662299951
BTCUSD,short,2024-06-22,64143.56,2024-07-12,57339.89,time,0.10306941678946413,0.2644725850453111
ETHUSD,short,2024-06-25,3352.74,2024-07-15,3245.2,time,0.029075257848804274,0.19558902046914337
BTCUSD,short,2024-07-13,57889.09,2024-07-15,63777.946346977835,stop,-0.10472653166560131,0.1966055430430348
BTCUSD,short,2024-07-16,64724.06,2024-08-05,58161.0,time,0.09840062289046758,0.20985082057561935
ETHUSD,short,2024-07-16,3483.2,2024-08-05,2688.91,time,0.2250345659163987,0.18827374565263633
BTCUSD,short,2024-08-06,54018.82,2024-08-08,61914.97037217834,stop,-0.14917406252447452,0.13682317953399778
ETHUSD,short,2024-08-06,2419.76,2024-08-26,2746.12,time,-0.13787287995503672,0.10001737659135479
BTCUSD,short,2024-08-09,61686.0,2024-08-29,59034.9,time,0.039977336834938204,0.14089719288463876
ETHUSD,short,2024-08-27,2680.49,2024-09-16,2316.09,time,0.13294529358438179,0.1569229310906069
BTCUSD,short,2024-08-30,59359.0,2024-09-19,61759.98,time,-0.04344845768965111,0.17208428709576787
ETHUSD,short,2024-09-17,2295.67,2024-09-21,2598.229767607971,stop,-0.1347958450508876,0.15174985214653636
BTCUSD,short,2024-09-20,62948.0,2024-10-10,60636.01,time,0.03372856961301385,0.21073762710178157
ETHUSD,short,2024-09-22,2612.4,2024-10-12,2439.49,time,0.06318817945184518,0.17514187362325737
BTCUSD,long,2024-10-11,60326.4,2024-10-31,72344.75,time,0.1962220652981116,0.24023248461579785
ETHUSD,short,2024-10-13,2476.4,2024-10-20,2726.7156957211027,stop,-0.10408047800076836,0.19786214307225555
ETHUSD,long,2024-10-21,2746.91,2024-10-23,2502.7487084707845,stop,-0.09188579950898113,0.22500782026468893
ETHUSD,long,2024-10-24,2524.6,2024-11-13,3243.79,time,0.2818728511447358,0.19740896583557055
BTCUSD,long,2024-11-01,70292.01,2024-11-21,94286.56,time,0.33835529770737816,0.26130756274392175
ETHUSD,long,2024-11-14,3187.16,2024-12-04,3614.51,time,0.13108489062362738,0.16324778816091257
BTCUSD,long,2024-11-22,98317.12,2024-12-12,101125.0,time,0.025559420780429835,0.2209181148759925
ETHUSD,long,2024-12-05,3837.8,2024-12-19,3379.086577671481,stop,-0.12252509831896385,0.16732887302571506
BTCUSD,long,2024-12-13,100004.29,2025-01-02,94591.78,time,-0.057122778132818075,0.1889988562233762
ETHUSD,long,2024-12-20,3417.01,2025-01-09,3327.29,time,-0.02925687369952101,0.12576616314226954
BTCUSD,long,2025-01-03,96984.79,2025-01-23,103706.66,time,0.06630849672407402,0.20576984072098164
ETHUSD,long,2025-01-10,3219.2,2025-01-30,3113.9,time,-0.03570999005964204,0.14243681362341085
BTCUSD,long,2025-01-24,103910.35,2025-02-03,92489.51649051871,stop,-0.11291045174500225,0.18196631605519195
ETHUSD,short,2025-01-31,3247.38,2025-02-20,2715.51,time,0.16078434307041367,0.14086089811891056
BTCUSD,long,2025-02-04,101328.51,2025-02-24,96258.0,time,-0.05304030948446781,0.17504601386756605
ETHUSD,short,2025-02-21,2738.04,2025-03-13,1908.2,time,0.30007811427152264,0.1287476407009496
BTCUSD,short,2025-02-25,91552.88,2025-03-17,82574.52,time,0.09506747750589606,0.23063221738454612
ETHUSD,short,2025-03-14,1864.59,2025-04-03,1795.21,time,0.03420925243619233,0.07604230300191267
BTCUSD,short,2025-03-18,84010.02,2025-04-07,78430.0,time,0.06342088646092459,0.15214396698897517
ETHUSD,short,2025-04-04,1817.23,2025-04-24,1795.08,time,0.009188880879140274,0.1232546339941213
BTCUSD,short,2025-04-08,79163.24,2025-04-22,88556.20116258043,stop,-0.12165306627900041,0.16855864435034534
BTCUSD,short,2025-04-23,93442.99,2025-05-08,101999.75448043669,stop,-0.09457203210681386,0.21840729685534416
ETHUSD,short,2025-04-25,1769.64,2025-05-08,2048.7053131937023,stop,-0.16069609253503658,0.1268262242804554
BTCUSD,long,2025-05-09,103261.61,2025-05-29,107781.78,time,0.040773964012375985,0.28086272305069765
ETHUSD,short,2025-05-09,2207.39,2025-05-10,2473.2382809716973,stop,-0.12343557367374924,0.16606389117370304
ETHUSD,short,2025-05-11,2583.22,2025-05-31,2531.35,time,0.017079590588490293,0.15628656827193022
BTCUSD,long,2025-05-30,105589.75,2025-06-19,104886.79,time,-0.009657464384563937,0.28027766942457744
ETHUSD,long,2025-06-01,2528.06,2025-06-21,2406.49,time,-0.05108825739895417,0.14244109259641005
BTCUSD,long,2025-06-20,104658.59,2025-07-10,111234.0,time,0.05982723663676348,0.2995650275226101
ETHUSD,long,2025-06-22,2295.72,2025-07-12,2958.21,time,0.2855761329778893,0.12835281516250485
BTCUSD,long,2025-07-11,116010.01,2025-07-31,117840.29,time,0.012776914423160538,0.3334854333693375
ETHUSD,long,2025-07-13,2943.29,2025-08-02,3488.21,time,0.18213975856949205,0.18184025093746953
BTCUSD,long,2025-08-01,115764.07,2025-08-21,114271.23,time,-0.015895538313399068,0.3314612405934142
ETHUSD,long,2025-08-03,3393.94,2025-08-23,4832.07,time,0.4207346564759541,0.15341342542339198
BTCUSD,long,2025-08-22,112500.0,2025-09-11,113960.0,time,0.009977777777777756,0.31568867167687287
ETHUSD,long,2025-08-24,4778.4,2025-09-13,4712.16,time,-0.016862380713209443,0.1527776958171193
BTCUSD,short,2025-09-12,115482.69,2025-10-02,118594.99,time,-0.029950359400183642,0.34023074993820035
ETHUSD,long,2025-09-14,4666.54,2025-09-22,4172.644908132153,stop,-0.10883753527621032,0.18896887524643166
ETHUSD,long,2025-09-23,4199.09,2025-10-10,3750.5186026747747,stop,-0.10982585925170107,0.18722058628965838
BTCUSD,short,2025-10-03,120529.35,2025-10-23,107567.45,time,0.10454144115105579,0.3794319793091611
ETHUSD,long,2025-10-11,3829.72,2025-10-31,3804.95,time,-0.00946783576867238,0.12579557177678702
BTCUSD,short,2025-10-24,110078.19,2025-11-13,101654.37,time,0.07352578589818748,0.2146375467484808
ETHUSD,short,2025-11-01,3848.0,2025-11-21,2834.21,time,0.26045893970893974,0.1433860679464325
BTCUSD,short,2025-11-14,99692.03,2025-12-04,93429.95,time,0.0598142490427771,0.1924365013982749
ETHUSD,short,2025-11-22,2765.86,2025-12-09,3363.2745287857174,stop,-0.21899593934100692,0.09259433330561227
BTCUSD,short,2025-12-05,92078.06,2025-12-25,87669.44,time,0.04487915818382793,0.19118066045475965
ETHUSD,short,2025-12-10,3318.04,2025-12-30,2937.91,time,0.11156462248797483,0.13772705934271928
BTCUSD,short,2025-12-26,87225.27,2026-01-13,94878.71761399484,stop,-0.0907434671626105,0.22793719745465504
ETHUSD,short,2025-12-31,2973.69,2026-01-06,3301.8476315219395,stop,-0.11335367893826842,0.18123546212888786
ETHUSD,short,2026-01-07,3296.83,2026-01-27,2930.35,time,0.10816132769963871,0.22800322778690693
BTCUSD,short,2026-01-14,95413.99,2026-02-03,78738.6,time,0.17176881534877642,0.3010832518570188
ETHUSD,short,2026-01-28,3026.77,2026-02-17,1998.34,time,0.33677804722525995,0.19134767283192666
BTCUSD,short,2026-02-04,75770.21,2026-02-24,64656.01,time,0.14368297738649538,0.17395611879112596
ETHUSD,short,2026-02-18,1991.67,2026-03-10,1992.97,time,-0.0036527185728559815,0.10391541140469926
BTCUSD,short,2026-02-25,64058.15,2026-03-04,71839.27349926044,stop,-0.12446968807654357,0.16465013055271122
BTCUSD,short,2026-03-05,72666.77,2026-03-25,70556.74,time,0.0260370688004985,0.15887302090532016
ETHUSD,short,2026-03-11,2036.5,2026-03-16,2357.0903121446227,stop,-0.16042220090578085,0.12704688338063735
ETHUSD,short,2026-03-17,2352.97,2026-04-06,2110.17,time,0.10018873593798461,0.15107204621216352
BTCUSD,short,2026-03-26,71336.53,2026-04-15,74131.55,time,-0.042180767553454124,0.19966273103629503
ETHUSD,short,2026-04-07,2107.16,2026-04-13,2356.8965456467363,stop,-0.12151807439716789,0.16875063235483945
ETHUSD,short,2026-04-14,2369.46,2026-05-04,2322.65,time,0.016755556118271623,0.1684824840191609
BTCUSD,long,2026-04-16,74809.99,2026-05-06,80905.53,time,0.07848029427620562,0.2370305565279778
ETHUSD,long,2026-05-05,2347.17,2026-05-17,2134.164584092695,stop,-0.09374988854974509,0.22038594558754618
BTCUSD,long,2026-05-07,81447.01,2026-05-22,76042.62999760911,stop,-0.06935455374470945,0.3014111145551128
ETHUSD,long,2026-05-18,2131.0,2026-06-02,1929.3299742904692,stop,-0.0976363330406057,0.21133532288723164
BTCUSD,long,2026-05-23,75539.5,2026-06-02,70538.05752800846,stop,-0.069209631676031,0.30207085425065655
BTCUSD,short,2026-06-03,66760.84,2026-06-23,64020.01,time,0.03805445647478367,0.24450189839918615
ETHUSD,short,2026-06-03,1859.84,2026-06-23,1728.19,time,0.06778565898141764,0.19193200915091133
BTCUSD,short,2026-06-24,62734.57,2026-07-14,62334.52,time,0.0033768668534749384,0.2361289265992977
ETHUSD,short,2026-06-24,1667.13,2026-07-14,1776.71,time,-0.06872972713585612,0.16795983753055857
BTCUSD,short,2026-07-15,65043.99,2026-08-04,63520.0,time,0.02043014320000969,0.25412565171749657
ETHUSD,short,2026-07-15,1891.87,2026-08-04,1860.5,time,0.013581477585669192,0.19460420649720256
BTCUSD,short,2026-08-05,64106.55,2026-08-19,68174.71070713186,stop,-0.06645936112818196,0.31516232821193796
