asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
TIP,long,2005-11-15 00:00:00,102.36,2005-12-14 00:00:00,102.45,time,0.0004792497069167737
TIP,long,2006-01-26 00:00:00,102.2,2006-02-24 00:00:00,102.75,time,0.004981604696673259
TIP,long,2006-03-07 00:00:00,101.45,2006-04-03 00:00:00,99.76,stop,-0.017058452439625383
TIP,long,2006-04-04 00:00:00,100.05,2006-05-03 00:00:00,99.16,time,-0.009295552223888047
TIP,long,2006-05-04 00:00:00,99.03,2006-06-02 00:00:00,99.73,time,0.006668565081288502
TIP,long,2006-06-08 00:00:00,99.29,2006-07-07 00:00:00,98.99,time,-0.003421452311411155
TIP,long,2006-09-06 00:00:00,100.34,2006-10-04 00:00:00,100.6,time,0.002191189954155748
TIP,long,2006-10-11 00:00:00,99.8,2006-11-08 00:00:00,100.18,time,0.0034076152304609144
TIP,long,2006-12-19 00:00:00,99.63,2007-01-11 00:00:00,98.29758283160417,stop,-0.013773654204514972
TIP,long,2007-01-12 00:00:00,98.21,2007-02-12 00:00:00,98.62,time,0.003774727624478347
TIP,long,2007-04-04 00:00:00,100.44,2007-04-25 00:00:00,102.19184181500488,target,0.01704167478101244
TIP,long,2007-05-15 00:00:00,100.2,2007-06-05 00:00:00,98.75345066951222,stop,-0.014836620064748328
TIP,long,2007-06-06 00:00:00,98.77,2007-06-12 00:00:00,97.32982290364241,stop,-0.01498111872387957
TIP,long,2007-06-13 00:00:00,97.42,2007-06-29 00:00:00,98.97686779213628,target,0.015580987396184255
TIP,long,2008-06-05 00:00:00,105.5,2008-07-03 00:00:00,107.91,time,0.022443601895734532
TIP,long,2008-07-23 00:00:00,105.79,2008-08-20 00:00:00,106.44,time,0.005744248038566946
TIP,long,2008-09-15 00:00:00,105.51,2008-09-19 00:00:00,102.97162579428462,stop,-0.024458138619234005
TIP,long,2008-09-22 00:00:00,105.22,2008-09-30 00:00:00,101.70637524736217,stop,-0.033793126331855425
TIP,long,2008-10-01 00:00:00,101.5,2008-10-08 00:00:00,97.22522436084171,stop,-0.04251601614934279
TIP,long,2009-04-20 00:00:00,101.07,2009-05-18 00:00:00,101.42,time,0.0030629464727418123
TIP,long,2009-06-09 00:00:00,99.87,2009-07-08 00:00:00,100.92,time,0.01011366776809859
TIP,long,2009-12-10 00:00:00,104.32,2010-01-11 00:00:00,104.62,time,0.0024757668711658633
TIP,long,2010-02-10 00:00:00,104.74,2010-03-11 00:00:00,103.8,time,-0.009374603780790513
TIP,long,2010-03-25 00:00:00,103.41,2010-04-16 00:00:00,104.81220871265585,target,0.013159701311825157
TIP,long,2010-05-28 00:00:00,105.88,2010-06-28 00:00:00,106.84,time,0.008666868152625585
TIP,long,2010-07-20 00:00:00,105.46,2010-08-06 00:00:00,107.25,target,0.016573260003793066
TIP,long,2010-11-10 00:00:00,110.75,2010-11-15 00:00:00,108.5302792009998,stop,-0.0204426257246068
TIP,long,2010-11-16 00:00:00,108.84,2010-12-10 00:00:00,106.29985860734473,stop,-0.023738307540015314
TIP,long,2010-12-13 00:00:00,106.22,2011-01-11 00:00:00,107.96,time,0.015981095838825076
TIP,long,2011-04-07 00:00:00,108.64,2011-04-19 00:00:00,110.54211840047986,target,0.017108453612664398
TIP,long,2011-05-20 00:00:00,110.12,2011-06-20 00:00:00,110.69,time,0.004776171449327915
TIP,long,2011-07-05 00:00:00,110.02,2011-07-12 00:00:00,111.92049319889894,target,0.016874070159052356
TIP,long,2012-03-06 00:00:00,118.06,2012-04-03 00:00:00,118.11,time,2.3513467728175977e-05
TIP,long,2012-04-04 00:00:00,117.29,2012-04-17 00:00:00,119.22149474760778,target,0.016067684777967228
TIP,long,2012-06-25 00:00:00,119.7,2012-07-20 00:00:00,121.50285226808646,target,0.014661422456862595
TIP,long,2012-08-09 00:00:00,120.64,2012-08-15 00:00:00,119.08412348017846,stop,-0.013296854441491578
TIP,long,2012-08-16 00:00:00,119.0,2012-08-24 00:00:00,120.64869225838582,target,0.013454556793158058
TIP,long,2012-10-18 00:00:00,121.17,2012-11-08 00:00:00,122.85805190846497,target,0.013531269360939025
TIP,long,2012-12-18 00:00:00,121.81,2013-01-04 00:00:00,120.34576657543141,stop,-0.012420633975606154
TIP,long,2013-01-07 00:00:00,120.51,2013-02-05 00:00:00,120.56,time,1.4903327524696034e-05
TIP,long,2013-02-14 00:00:00,120.33,2013-03-15 00:00:00,120.39,time,9.862877088013844e-05
TIP,long,2013-05-06 00:00:00,120.9,2013-05-14 00:00:00,119.26305205207426,stop,-0.013939685259931766
TIP,long,2013-05-15 00:00:00,119.25,2013-05-28 00:00:00,117.67825034021985,stop,-0.013580290648051595
TIP,long,2013-05-29 00:00:00,117.21,2013-06-10 00:00:00,115.18,stop,-0.01771934135312674
TIP,long,2013-06-11 00:00:00,113.87,2013-06-20 00:00:00,111.61526295540118,stop,-0.02020097518748425
TIP,long,2013-06-21 00:00:00,111.55,2013-07-22 00:00:00,113.52,time,0.017260242043926465
TIP,long,2013-12-03 00:00:00,111.25,2014-01-02 00:00:00,109.99,time,-0.011725842696629284
TIP,long,2014-03-21 00:00:00,111.55,2014-04-11 00:00:00,113.14,target,0.013853697893321427
TIP,long,2014-06-05 00:00:00,113.59,2014-06-25 00:00:00,115.29428629470972,target,0.014603840960557514
TIP,long,2014-08-21 00:00:00,114.73,2014-09-10 00:00:00,113.15,stop,-0.014171463435892971
TIP,long,2014-09-11 00:00:00,113.23,2014-10-09 00:00:00,113.75,time,0.004192422502870175
TIP,long,2014-11-20 00:00:00,112.85,2014-12-19 00:00:00,111.81,time,-0.00961577315019928
TIP,long,2014-12-24 00:00:00,111.28,2015-01-06 00:00:00,113.19207194022813,target,0.01678253001642811
TIP,long,2015-02-12 00:00:00,113.07,2015-03-13 00:00:00,111.7,time,-0.012516388078181605
TIP,long,2015-03-16 00:00:00,111.91,2015-03-24 00:00:00,113.94,target,0.017739576445357796
TIP,long,2015-08-19 00:00:00,111.15,2015-08-24 00:00:00,112.73313255527465,target,0.01384320787471567
TIP,long,2015-08-27 00:00:00,111.13,2015-09-25 00:00:00,110.46,time,-0.006428975074237386
TIP,long,2015-10-29 00:00:00,110.69,2015-11-27 00:00:00,110.87,time,0.0012261631583702752
TIP,long,2015-12-15 00:00:00,109.5,2016-01-14 00:00:00,110.27,time,0.006631963470319535
TIP,long,2016-04-26 00:00:00,113.81,2016-05-11 00:00:00,115.4177452595679,target,0.01372657288083552
TIP,long,2016-05-25 00:00:00,114.11,2016-06-08 00:00:00,115.76,target,0.014059731837700441
TIP,long,2016-07-26 00:00:00,116.01,2016-08-23 00:00:00,116.37,time,0.002703180760279267
TIP,long,2016-09-06 00:00:00,115.64,2016-10-04 00:00:00,116.48,time,0.006863922518159882
TIP,long,2016-11-10 00:00:00,114.9,2016-11-14 00:00:00,113.507710087386,stop,-0.012517405679843429
TIP,long,2016-11-15 00:00:00,113.79,2016-12-14 00:00:00,113.05,time,-0.006903207663239419
TIP,long,2016-12-15 00:00:00,111.41,2017-01-03 00:00:00,113.32696265289057,target,0.016806378717265823
TIP,long,2017-03-03 00:00:00,113.73,2017-03-31 00:00:00,114.37,time,0.005227363052844503
TIP,long,2017-05-02 00:00:00,114.33,2017-05-31 00:00:00,114.49,time,0.0009994577101372752
TIP,long,2017-06-16 00:00:00,113.62,2017-07-17 00:00:00,113.17,time,-0.004360570322126378
TIP,long,2017-09-22 00:00:00,114.05,2017-10-20 00:00:00,113.43,time,-0.005836212187636902
TIP,long,2017-10-25 00:00:00,113.0,2017-11-06 00:00:00,113.99972034856087,target,0.008447082730627066
TIP,long,2017-12-01 00:00:00,113.4,2018-01-02 00:00:00,113.98,time,0.004714638447971664
TIP,long,2018-01-31 00:00:00,113.04,2018-02-07 00:00:00,111.97373243091604,stop,-0.009832657192887105
TIP,long,2018-02-08 00:00:00,111.9,2018-03-09 00:00:00,112.07,time,0.0011192135835566667
