asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BTCUSD,long,2017-10-13,5439.99,2017-11-02,6783.092667424611,target,0.24389432653821264
BTCUSD,long,2017-11-03,7010.31,2017-11-10,6447.558331473961,stop,-0.0832748620996846
BTCUSD,long,2017-11-17,7876.98,2017-11-29,10575.616886385464,target,0.3395979101616945
ETHUSD,long,2017-11-20,355.15,2017-11-24,448.69278078857366,target,0.2603894996158628
ETHUSD,long,2017-11-25,467.57,2017-11-29,425.7121962529676,stop,-0.0925220047202181
BTCUSD,long,2017-12-07,13541.01,2017-12-15,17597.06930127374,target,0.2965389045037069
ETHUSD,long,2017-12-13,622.0,2017-12-19,863.4444165001466,target,0.3851743030548981
BTCUSD,long,2017-12-16,17516.81,2017-12-20,15148.615082478558,stop,-0.13819555886725055
ETHUSD,long,2018-01-04,934.03,2018-01-10,1370.4138511242136,target,0.46420539075213185
BTCUSD,short,2018-02-06,6939.63,2018-02-14,9190.809931670361,stop,-0.3273948065920461
ETHUSD,short,2018-03-18,547.98,2018-04-24,650.393635283159,stop,-0.18989301668520564
ETHUSD,long,2018-05-04,779.0,2018-05-07,701.6393794350817,stop,-0.10230760021170515
BTCUSD,short,2018-06-11,6765.0,2018-07-17,7313.2001121964895,stop,-0.08403475420495032
ETHUSD,short,2018-06-13,493.0,2018-07-23,457.47,time,0.06906896551724129
BTCUSD,long,2018-07-25,8397.24,2018-07-26,7853.332037296263,stop,-0.06777223024514456
ETHUSD,short,2018-08-08,378.2,2018-08-14,266.26595861134973,target,0.29296520726771613
ETHUSD,short,2018-08-15,278.47,2018-08-18,319.01879567457013,stop,-0.14861279733748722
ETHUSD,short,2018-09-06,228.28,2018-10-16,214.39,time,0.05784632906956377
BTCUSD,short,2018-11-15,5917.2,2018-11-19,5137.407584896983,target,0.1287840220210601
ETHUSD,short,2018-11-15,187.43,2018-11-20,144.78483836947348,target,0.22452580499667363
BTCUSD,short,2018-11-20,4913.4,2018-11-24,3865.3468727672152,target,0.21030506924589576
ETHUSD,short,2018-11-21,133.68,2018-12-24,152.3694799391658,stop,-0.14280759978430446
BTCUSD,short,2018-11-25,3933.68,2018-11-29,4401.369159724893,stop,-0.12189354490576065
BTCUSD,short,2018-12-07,3508.75,2018-12-20,4012.0967679258165,stop,-0.14645472545089178
BTCUSD,long,2019-02-24,4118.0,2019-02-25,3743.56,stop,-0.09392763477416222
BTCUSD,long,2019-04-03,4857.19,2019-04-23,5462.775449416505,target,0.12167814712138203
ETHUSD,long,2019-04-09,178.71,2019-04-11,164.53286463163676,stop,-0.082330397674239
BTCUSD,long,2019-04-24,5490.91,2019-04-25,5221.169990733401,stop,-0.05212482799146201
BTCUSD,long,2019-05-04,5770.62,2019-05-11,6634.971854792022,target,0.14678491995522525
BTCUSD,long,2019-05-12,7076.24,2019-05-14,8281.706578624351,target,0.16735411159377744
ETHUSD,long,2019-05-12,190.2,2019-05-15,239.63922943000904,target,0.2569328571504156
ETHUSD,long,2019-05-16,248.06,2019-05-17,225.6182946189913,stop,-0.09346885987667775
BTCUSD,long,2019-05-27,8612.54,2019-06-04,7881.784284045036,stop,-0.0878478748377326
BTCUSD,long,2019-06-21,9518.06,2019-06-25,11464.504559461964,target,0.20150013547529266
ETHUSD,long,2019-06-22,294.25,2019-06-26,361.29003587829135,target,0.22483359686760018
BTCUSD,long,2019-06-26,11821.28,2019-06-27,10997.064501180492,stop,-0.07272303327723473
ETHUSD,long,2019-06-27,339.53,2019-06-28,298.35,stop,-0.12428530615851308
ETHUSD,short,2019-07-15,225.83,2019-08-24,194.02,time,0.137858167648231
ETHUSD,short,2019-08-29,173.03,2019-09-16,191.05621747788388,stop,-0.10717972304157597
BTCUSD,short,2019-09-25,8497.55,2019-10-26,9230.742482403253,stop,-0.08928280885705331
BTCUSD,short,2019-11-23,7268.23,2020-01-02,7200.77,time,0.0062814894410330195
