asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BTCUSD,short,2017-10-16,5710.0,2017-10-26,5670.1,time,0.003987740805604159
ETHUSD,short,2017-11-20,355.15,2017-11-23,408.42249999999996,stop,-0.1529999999999999
ETHUSD,short,2017-11-24,405.03,2017-11-25,467.57,stop,-0.15740831543342482
ETHUSD,short,2017-11-26,461.0,2017-12-06,452.26,time,0.01595878524945771
BTCUSD,short,2017-12-02,10775.04,2017-12-06,12391.296,stop,-0.1529999999999999
BTCUSD,short,2017-12-07,13541.01,2017-12-08,16599.0,stop,-0.22883175110276122
BTCUSD,short,2017-12-09,15880.01,2017-12-16,18262.0115,stop,-0.1529999999999999
ETHUSD,short,2017-12-13,622.0,2017-12-14,715.3,stop,-0.1529999999999999
ETHUSD,short,2017-12-15,679.76,2017-12-18,781.7239999999999,stop,-0.1529999999999999
BTCUSD,short,2017-12-17,19120.19,2017-12-20,14818.147249999998,target,0.2220000000000001
ETHUSD,short,2017-12-19,784.0,2017-12-22,607.5999999999999,target,0.2220000000000001
ETHUSD,short,2018-01-08,1123.09,2018-01-09,1291.5535,stop,-0.15300000000000014
ETHUSD,short,2018-01-10,1291.0,2018-01-16,1000.5249999999999,target,0.2220000000000001
BTCUSD,short,2018-07-25,8397.24,2018-08-04,7412.27,time,0.11429687373470321
ETHUSD,long,2018-08-09,355.48,2018-08-13,302.158,stop,-0.15300000000000002
ETHUSD,long,2018-08-14,283.81,2018-08-24,276.06,time,-0.030307001162749755
BTCUSD,long,2018-11-15,5917.2,2018-11-19,5029.62,stop,-0.15300000000000002
ETHUSD,long,2018-11-17,176.93,2018-11-19,150.3905,stop,-0.15300000000000002
BTCUSD,long,2018-11-20,4913.4,2018-11-24,4176.389999999999,stop,-0.15300000000000002
ETHUSD,long,2018-11-20,150.76,2018-11-21,128.146,stop,-0.15300000000000002
ETHUSD,long,2018-11-22,138.36,2018-11-24,117.60600000000001,stop,-0.15300000000000002
BTCUSD,long,2018-11-25,3933.68,2018-12-05,3950.98,time,0.0013979174716806124
ETHUSD,long,2018-11-25,114.83,2018-12-05,109.92,time,-0.04575886092484538
BTCUSD,short,2019-02-24,4118.0,2019-03-06,3857.58,time,0.06023943661971831
BTCUSD,short,2019-04-03,4857.19,2019-04-13,5047.0,time,-0.04207815012383709
ETHUSD,short,2019-04-03,163.26,2019-04-13,163.2,time,-0.002632488055861801
