asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BTCUSD,short,2018-12-15,3225.19,2018-12-19,3785.386147458923,stop,-0.17669399863540536
ETHUSD,short,2018-12-15,83.82,2018-12-19,103.7159523120252,stop,-0.2403652148893486
BTCUSD,short,2018-12-20,3660.01,2018-12-24,4192.488179661871,stop,-0.1484854439364568
ETHUSD,short,2018-12-20,98.73,2018-12-21,117.52682134264884,stop,-0.19338611711383413
ETHUSD,short,2018-12-22,107.67,2018-12-23,128.17256534136558,stop,-0.19342040811150352
ETHUSD,short,2018-12-24,129.03,2019-01-02,150.48353848311623,stop,-0.16926783293122705
BTCUSD,short,2018-12-25,4010.11,2019-02-03,3504.06,time,0.12319354581295783
ETHUSD,short,2019-01-04,146.3,2019-02-13,122.4,time,0.16036295283663704
BTCUSD,short,2019-02-04,3458.11,2019-02-08,3708.6162991416927,stop,-0.07544023444647296
BTCUSD,short,2019-02-09,3660.27,2019-02-18,3911.165456928691,stop,-0.07154561464828857
ETHUSD,short,2019-02-14,121.86,2019-02-18,135.74102292269868,stop,-0.11690959234120035
BTCUSD,short,2019-02-19,3897.35,2019-02-23,4121.094313841753,stop,-0.060409345796952674
BTCUSD,long,2019-02-24,4118.0,2019-02-25,3743.56,stop,-0.09392763477416222
BTCUSD,long,2019-03-15,3877.12,2019-04-24,5490.91,time,0.4132342150874876
ETHUSD,long,2019-03-21,139.04,2019-04-30,155.14,time,0.1127940161104718
BTCUSD,long,2019-04-25,5415.0,2019-06-04,8115.66,time,0.49573684210526314
ETHUSD,long,2019-05-01,161.85,2019-06-10,231.02,time,0.4243710225517455
BTCUSD,long,2019-06-05,7687.04,2019-07-15,10174.18,time,0.32054976688035974
ETHUSD,long,2019-06-11,246.61,2019-07-15,211.29944645531558,stop,-0.14618378632125395
ETHUSD,long,2019-07-16,228.2,2019-08-15,181.8934886185142,stop,-0.205920733485915
ETHUSD,short,2019-08-16,187.98,2019-09-18,215.61902742750732,stop,-0.15003174501280625
ETHUSD,short,2019-09-19,210.27,2019-10-29,181.67,time,0.13301559899177262
ETHUSD,short,2019-10-30,190.45,2019-12-09,150.44,time,0.20708138619060112
BTCUSD,short,2019-11-08,9214.0,2019-12-18,6623.84,time,0.2781113522899935
ETHUSD,short,2019-12-10,147.4,2020-01-14,162.19905614062833,stop,-0.10340065224306871
BTCUSD,short,2019-12-19,7277.83,2020-01-07,8008.5858610638525,stop,-0.1034084817952402
BTCUSD,short,2020-01-08,8145.92,2020-01-14,8734.851978473316,stop,-0.07529778569803247
BTCUSD,long,2020-01-15,8814.64,2020-02-24,9936.4,time,0.12426101122677735
ETHUSD,short,2020-01-15,165.6,2020-01-30,181.92419376869105,stop,-0.10157604932784448
ETHUSD,long,2020-01-31,184.71,2020-03-11,200.74,time,0.0837846895132911
BTCUSD,long,2020-02-25,9655.52,2020-02-26,8865.261724971011,stop,-0.08484523205679129
BTCUSD,long,2020-02-27,8786.0,2020-03-09,7941.967711837249,stop,-0.09906559164156048
BTCUSD,long,2020-03-10,7929.87,2020-03-12,7090.666045035893,stop,-0.10882821092453054
ETHUSD,long,2020-03-12,194.61,2020-03-13,107.67,stop,-0.44973963311237863
BTCUSD,long,2020-07-11,9288.34,2020-08-20,11754.38,time,0.26249846366519736
ETHUSD,long,2020-07-12,239.19,2020-08-21,415.94,time,0.7359522973368452
BTCUSD,long,2020-08-21,11853.54,2020-09-03,10949.248239720824,stop,-0.07928875089459997
