asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
BND,long,2024-01-18 00:00:00,72.8,2024-03-15 00:00:00,72.03,time,-0.010976923076923039,1.0
BND,long,2024-05-17 00:00:00,71.93,2024-07-17 00:00:00,72.94,time,0.013641429167245712,1.0
BND,long,2024-07-18 00:00:00,72.98,2024-09-13 00:00:00,75.46,time,0.03358191285283625,1.0
BND,long,2024-09-16 00:00:00,75.5,2024-10-04 00:00:00,74.165,stop,-0.018082119205297943,1.0
BND,long,2024-10-07 00:00:00,73.94,2024-10-29 00:00:00,72.9,stop,-0.014465458479848413,1.0
BND,long,2025-02-06 00:00:00,72.56,2025-04-04 00:00:00,74.2,time,0.022201984564498244,1.0
BND,long,2025-04-07 00:00:00,73.65,2025-04-09 00:00:00,71.49,stop,-0.029727902240326,1.0
BND,long,2025-04-10 00:00:00,72.42,2025-06-09 00:00:00,72.2,time,-0.0034378348522507316,1.0
BND,long,2025-06-25 00:00:00,73.19,2025-08-21 00:00:00,73.44,time,0.0030157671813088706,1.0
BND,long,2025-08-22 00:00:00,73.5,2025-10-20 00:00:00,74.95,time,0.019327891156462673,1.0
BND,long,2025-10-21 00:00:00,75.095,2025-11-03 00:00:00,74.235,stop,-0.011852160596577609,1.0
BND,long,2025-11-04 00:00:00,74.26,2026-01-02 00:00:00,74.125,time,-0.0022179369781847756,1.0
BND,long,2026-02-17 00:00:00,74.89,2026-03-06 00:00:00,74.12,stop,-0.010681746561623616,1.0
BND,long,2026-03-09 00:00:00,74.15,2026-03-20 00:00:00,73.3887386873618,stop,-0.010666504553448574,1.0
BND,long,2026-04-21 00:00:00,73.935,2026-05-15 00:00:00,72.82,stop,-0.015480814228714545,1.0
BND,long,2026-06-30 00:00:00,73.615,2026-07-08 00:00:00,72.73,stop,-0.012422006384568184,1.0
