asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
QQQ,long,2024-01-19 00:00:00,415.22,2024-02-02 00:00:00,430.14827951539644,target,0.03555269860651329,1.0
QQQ,long,2024-02-08 00:00:00,432.11,2024-02-20 00:00:00,424.20032217083957,stop,-0.01870477848038792,1.0
QQQ,long,2024-03-04 00:00:00,445.61,2024-03-05 00:00:00,437.4717303367246,stop,-0.018663211470288866,1.0
QQQ,long,2024-05-15 00:00:00,448.43,2024-06-07 00:00:00,465.48001834040775,target,0.03762158272285028,1.0
QQQ,long,2024-06-12 00:00:00,471.99,2024-07-03 00:00:00,488.1464199477597,target,0.033830428500094725,1.0
QQQ,long,2024-07-05 00:00:00,491.89,2024-07-17 00:00:00,483.5937250093632,stop,-0.017266118422079747,1.0
QQQ,long,2024-09-27 00:00:00,490.5,2024-10-01 00:00:00,478.72452721447155,stop,-0.02440708009282049,0.9863308738184964
QQQ,long,2024-10-15 00:00:00,497.83,2024-10-16 00:00:00,487.6681122478002,stop,-0.02081236516923406,1.0
QQQ,long,2024-11-07 00:00:00,508.4,2024-11-15 00:00:00,497.5623661396604,stop,-0.02171713977250116,1.0
QQQ,long,2024-12-04 00:00:00,520.32,2024-12-20 00:00:00,510.44,stop,-0.019388314883148895,1.0
QQQ,long,2025-01-23 00:00:00,529.04,2025-01-27 00:00:00,511.0,stop,-0.034499500982912365,0.9663422819463773
QQQ,long,2025-02-14 00:00:00,536.005,2025-02-24 00:00:00,523.8881910063689,stop,-0.02300577605363967,1.0
QQQ,long,2025-05-13 00:00:00,509.16,2025-06-27 00:00:00,547.4498214992223,target,0.07480194339544007,0.4026009091398581
QQQ,long,2025-06-30 00:00:00,551.26,2025-07-31 00:00:00,574.54,target,0.04183052643035952,1.0
QQQ,long,2025-08-13 00:00:00,582.76,2025-08-19 00:00:00,572.8044510607008,stop,-0.01748344591135147,1.0
QQQ,long,2025-09-12 00:00:00,585.04,2025-10-01 00:00:00,603.6521460932349,target,0.03141345906815758,1.0
QQQ,long,2025-10-02 00:00:00,607.06,2025-10-10 00:00:00,598.0952630225478,stop,-0.015167464463895096,1.0
QQQ,long,2025-10-27 00:00:00,624.52,2025-11-06 00:00:00,612.0500687602803,stop,-0.020367224812207253,1.0
QQQ,long,2025-12-08 00:00:00,627.21,2025-12-12 00:00:00,612.2994354989346,stop,-0.02417284243086919,1.0
QQQ,long,2026-01-28 00:00:00,635.46,2026-01-29 00:00:00,623.4805796465654,stop,-0.019251572645697036,1.0
QQQ,long,2026-04-13 00:00:00,609.48,2026-04-17 00:00:00,645.59,target,0.05884722714445108,0.9375458846933947
QQQ,long,2026-04-20 00:00:00,648.04,2026-05-05 00:00:00,680.7533686406664,target,0.050080477502417245,0.9105655387720369
QQQ,long,2026-05-06 00:00:00,687.78,2026-05-14 00:00:00,716.886285719248,target,0.04191918014372038,1.0
QQQ,long,2026-05-15 00:00:00,710.14,2026-05-29 00:00:00,741.5054945571404,target,0.043768043705664186,1.0
QQQ,long,2026-06-01 00:00:00,737.04,2026-06-05 00:00:00,721.5182885410428,stop,-0.021459523850750496,1.0
QQQ,long,2026-08-14 00:00:00,733.41,2026-08-19 00:00:00,713.6756099553816,stop,-0.027307718799332404,0.8424969811657758
