asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
IEF,long,2024-01-19 00:00:00,94.78,2024-03-18 00:00:00,93.62,time,-0.012638868959696058,1.0
IEF,long,2024-05-20 00:00:00,92.98,2024-07-18 00:00:00,94.94,time,0.020679802107980105,1.0
IEF,long,2024-07-19 00:00:00,94.63,2024-09-16 00:00:00,98.99,time,0.04567418366268634,1.0
IEF,long,2024-09-17 00:00:00,99.08,2024-10-03 00:00:00,97.46660996545222,stop,-0.016683710481911352,1.0
IEF,long,2024-10-04 00:00:00,96.57,2024-10-23 00:00:00,94.83,stop,-0.018418018018017946,1.0
IEF,long,2025-02-06 00:00:00,93.46,2025-04-04 00:00:00,97.2,time,0.039617119623368294,1.0
IEF,long,2025-04-07 00:00:00,96.485,2025-04-09 00:00:00,94.23,stop,-0.023771508524641095,1.0
IEF,long,2025-04-10 00:00:00,94.52,2025-06-09 00:00:00,93.515,time,-0.011032670334320692,1.0
IEF,long,2025-06-25 00:00:00,95.08,2025-08-21 00:00:00,95.39,time,0.002860412284392222,1.0
IEF,long,2025-08-22 00:00:00,95.395,2025-10-20 00:00:00,97.45,time,0.0211420095392842,1.0
IEF,long,2025-10-21 00:00:00,97.69,2025-11-03 00:00:00,96.42,stop,-0.013400307093868346,1.0
IEF,long,2025-11-04 00:00:00,96.57,2026-01-02 00:00:00,96.285,time,-0.0033512270891580707,1.0
IEF,long,2026-02-19 00:00:00,96.96,2026-03-12 00:00:00,95.845,stop,-0.011899587458745796,1.0
IEF,long,2026-03-13 00:00:00,95.84,2026-03-27 00:00:00,94.37,stop,-0.015738063439065076,1.0
