asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EWC,long,1997-01-15 00:00:00,12.88,1997-01-24 00:00:00,12.631172952905091,stop,-0.01971887011606437
EWC,long,1997-05-01 00:00:00,12.38,1997-05-05 00:00:00,12.99021501374243,target,0.0488903888321834
EWC,long,1997-05-06 00:00:00,12.75,1997-05-27 00:00:00,13.56,target,0.06312941176470584
EWC,long,1997-05-28 00:00:00,13.25,1997-06-16 00:00:00,13.988097965557529,target,0.05530550683453046
EWC,long,1997-07-07 00:00:00,13.81,1997-09-02 00:00:00,13.5,time,-0.022847501810282434
EWC,long,1997-09-22 00:00:00,14.19,1997-10-27 00:00:00,13.795049144892532,stop,-0.028233041233789048
EWC,long,1998-02-11 00:00:00,13.75,1998-03-10 00:00:00,14.577712929128502,target,0.059797303936618376
EWC,long,1998-03-11 00:00:00,14.75,1998-03-25 00:00:00,15.44,target,0.046379661016949084
EWC,long,1998-04-21 00:00:00,15.62,1998-04-27 00:00:00,15.06,stop,-0.03625147247119069
EWC,long,1999-03-26 00:00:00,12.38,1999-04-13 00:00:00,13.338749446176168,target,0.0770434124536485
EWC,long,1999-04-14 00:00:00,13.38,1999-06-10 00:00:00,13.62,time,0.017537219730941533
EWC,long,1999-06-16 00:00:00,13.88,1999-07-06 00:00:00,14.673759209776156,target,0.05678726295217258
EWC,long,1999-07-07 00:00:00,14.44,1999-07-21 00:00:00,13.88,stop,-0.03918116343490301
EWC,long,1999-10-13 00:00:00,13.75,1999-10-15 00:00:00,13.31,stop,-0.032399999999999915
EWC,long,1999-11-01 00:00:00,14.38,1999-11-16 00:00:00,15.269873048652679,target,0.061482687667084604
EWC,long,1999-11-17 00:00:00,15.13,1999-12-22 00:00:00,16.25,target,0.07362511566424308
EWC,long,1999-12-23 00:00:00,16.38,2000-01-06 00:00:00,15.81,stop,-0.03519853479853467
EWC,long,2000-01-27 00:00:00,17.19,2000-03-23 00:00:00,18.65959008906847,target,0.08509098831113833
EWC,long,2000-03-24 00:00:00,19.06,2000-03-30 00:00:00,18.203492298762825,stop,-0.045337444975717386
EWC,long,2000-05-18 00:00:00,18.44,2000-07-12 00:00:00,20.25,target,0.09775618221258138
EWC,long,2000-07-13 00:00:00,20.5,2000-08-24 00:00:00,16.69,stop,-0.18625365853658532
EWC,long,2002-01-07 00:00:00,11.0,2002-02-06 00:00:00,10.4,stop,-0.05494545454545456
EWC,long,2002-03-05 00:00:00,11.09,2002-05-01 00:00:00,10.96,time,-0.01212227231740297
EWC,long,2002-05-29 00:00:00,11.42,2002-06-10 00:00:00,10.963497452819116,stop,-0.040373953343334865
EWC,long,2003-04-14 00:00:00,10.19,2003-05-14 00:00:00,11.156862697637946,target,0.09448348357585341
EWC,long,2003-05-15 00:00:00,11.17,2003-06-18 00:00:00,12.12,target,0.08464923903312434
EWC,long,2003-08-14 00:00:00,12.09,2003-10-10 00:00:00,12.96,time,0.0715602977667495
EWC,long,2003-10-13 00:00:00,13.0,2003-12-03 00:00:00,13.937414460924504,target,0.07170880468650039
EWC,long,2003-12-04 00:00:00,13.94,2003-12-11 00:00:00,13.5,stop,-0.03196384505021514
EWC,long,2003-12-30 00:00:00,14.16,2004-02-27 00:00:00,14.49,time,0.02290508474576276
EWC,long,2004-06-08 00:00:00,13.88,2004-08-05 00:00:00,14.42,time,0.038504899135446594
EWC,long,2004-09-10 00:00:00,14.65,2004-10-01 00:00:00,15.617418820694235,target,0.06563541438185912
EWC,long,2004-10-04 00:00:00,15.53,2004-10-29 00:00:00,16.441786879120365,target,0.058311325120435645
EWC,long,2004-11-01 00:00:00,16.45,2004-12-29 00:00:00,16.9,time,0.026955623100303815
EWC,long,2005-02-11 00:00:00,17.04,2005-03-04 00:00:00,18.18908654054136,target,0.0670346561350565
EWC,long,2005-03-07 00:00:00,18.07,2005-03-23 00:00:00,17.42684265366654,stop,-0.03599254821989266
EWC,long,2005-06-13 00:00:00,17.54,2005-07-08 00:00:00,18.75,target,0.06858517673888272
EWC,long,2005-07-11 00:00:00,18.8,2005-08-08 00:00:00,19.957926864251473,target,0.06119185448146132
EWC,long,2005-08-12 00:00:00,20.31,2005-08-17 00:00:00,19.71490323509327,stop,-0.029700677740360826
EWC,long,2005-09-01 00:00:00,20.4,2005-09-23 00:00:00,21.89,target,0.0726392156862747
EWC,long,2005-11-22 00:00:00,20.9,2006-01-04 00:00:00,22.643827794516724,target,0.08303673657974771
EWC,long,2006-01-05 00:00:00,22.5,2006-03-06 00:00:00,24.0,time,0.06626666666666665
EWC,long,2006-04-06 00:00:00,24.29,2006-05-18 00:00:00,23.49853848842125,stop,-0.03298384156355487
EWC,long,2006-08-22 00:00:00,24.71,2006-09-11 00:00:00,23.73,stop,-0.04006005665722383
EWC,long,2006-10-26 00:00:00,24.25,2006-12-22 00:00:00,25.41,time,0.047435051546391674
EWC,long,2007-02-02 00:00:00,25.32,2007-03-05 00:00:00,24.245090796158227,stop,-0.042852970135931076
EWC,long,2007-04-13 00:00:00,27.34,2007-05-17 00:00:00,29.546181351059094,target,0.08029427033866483
EWC,long,2007-05-18 00:00:00,29.83,2007-06-08 00:00:00,28.702617094036547,stop,-0.038193593897534336
EWC,long,2007-07-09 00:00:00,30.98,2007-08-01 00:00:00,29.44748106084372,stop,-0.049868009656432497
EWC,long,2007-09-13 00:00:00,30.74,2007-10-11 00:00:00,33.95,target,0.10402420299284328
EWC,long,2007-10-19 00:00:00,34.29,2007-10-22 00:00:00,32.91048643619167,stop,-0.04063078342981423
EWC,long,2007-10-29 00:00:00,34.71,2007-11-12 00:00:00,33.13067399951177,stop,-0.04590060502703057
EWC,long,2007-12-31 00:00:00,32.49,2008-01-09 00:00:00,30.92,stop,-0.04872256078793473
EWC,long,2008-02-26 00:00:00,32.09,2008-03-10 00:00:00,30.34904240972887,stop,-0.05465233998975176
EWC,long,2008-04-17 00:00:00,32.82,2008-05-21 00:00:00,36.09684507297017,target,0.09944293336289363
EWC,long,2009-05-07 00:00:00,21.41,2009-05-13 00:00:00,19.9190043508393,stop,-0.07004015175902371
EWC,long,2009-05-21 00:00:00,21.38,2009-07-08 00:00:00,19.586565806743344,stop,-0.0842837321448389
EWC,long,2009-07-17 00:00:00,22.35,2009-09-14 00:00:00,24.7,time,0.1047454138702459
EWC,long,2009-09-16 00:00:00,25.94,2009-10-01 00:00:00,24.470899120611186,stop,-0.057034575149915764
EWC,long,2009-10-13 00:00:00,26.46,2009-10-27 00:00:00,24.947291808004476,stop,-0.057569621768538345
EWC,long,2009-12-02 00:00:00,26.79,2010-01-22 00:00:00,25.15605092712884,stop,-0.0613910068260977
EWC,long,2010-02-19 00:00:00,26.1607,2010-04-05 00:00:00,28.662537656431603,target,0.09523343704226579
EWC,long,2010-04-06 00:00:00,28.66,2010-04-19 00:00:00,27.669153340642808,stop,-0.0349724584562872
EWC,long,2010-06-21 00:00:00,28.04,2010-06-23 00:00:00,26.363657331673892,stop,-0.060183975332600156
EWC,long,2010-08-03 00:00:00,27.04,2010-08-12 00:00:00,25.58,stop,-0.054394082840236765
EWC,long,2010-09-07 00:00:00,27.16,2010-11-02 00:00:00,29.36,time,0.08060147275405001
EWC,long,2010-11-05 00:00:00,30.0,2010-11-16 00:00:00,28.860565933463626,stop,-0.03838113555121252
EWC,long,2010-12-07 00:00:00,30.99,2011-02-03 00:00:00,32.07,time,0.034449951597289544
EWC,long,2011-02-04 00:00:00,32.43,2011-03-15 00:00:00,31.02,stop,-0.043878260869565186
EWC,long,2011-04-06 00:00:00,34.52,2011-04-12 00:00:00,33.32418790654206,stop,-0.035041138280936954
EWC,long,2011-07-06 00:00:00,31.99,2011-08-02 00:00:00,30.611021251663818,stop,-0.0435065566844695
EWC,long,2012-02-24 00:00:00,28.97,2012-03-06 00:00:00,27.955094659129706,stop,-0.03543297690266804
