asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
TIP,short,2005-03-23 00:00:00,103.75,2005-03-31 00:00:00,104.97738492729991,stop,-0.012329422515952414
TIP,short,2005-07-15 00:00:00,103.74,2005-08-30 00:00:00,105.03898680251973,stop,-0.013556482255508009
TIP,short,2005-08-31 00:00:00,105.4,2005-10-27 00:00:00,103.17,time,0.019963844462516263
TIP,short,2005-10-28 00:00:00,103.52,2005-12-27 00:00:00,103.02,time,0.003636333750398688
TIP,short,2005-12-28 00:00:00,102.7,2006-02-27 00:00:00,102.79,time,-0.002069989644673245
TIP,short,2006-02-28 00:00:00,102.47,2006-04-26 00:00:00,98.92,time,0.03345063533887578
TIP,short,2006-04-27 00:00:00,98.91,2006-05-19 00:00:00,100.12993885022719,stop,-0.01305128753641891
TIP,short,2006-05-22 00:00:00,99.98,2006-07-19 00:00:00,98.95,time,0.009108409618431687
TIP,short,2006-07-20 00:00:00,99.63,2006-08-04 00:00:00,100.8,stop,-0.01236170473609508
TIP,short,2006-10-19 00:00:00,99.11,2006-10-26 00:00:00,100.0861931802763,stop,-0.010348799531289797
TIP,short,2006-10-27 00:00:00,100.25,2006-12-01 00:00:00,101.24133617477176,stop,-0.010764830623539723
TIP,short,2006-12-26 00:00:00,99.3,2007-02-26 00:00:00,100.09,time,-0.009149340622452365
TIP,short,2007-05-24 00:00:00,99.62,2007-07-23 00:00:00,99.22,time,0.0028216071866745216
TIP,short,2007-07-24 00:00:00,99.28,2007-07-26 00:00:00,100.44205404807028,stop,-0.012144497689463706
TIP,short,2008-06-05 00:00:00,105.5,2008-06-27 00:00:00,107.73,stop,-0.021854901075754142
TIP,short,2008-07-21 00:00:00,106.65,2008-09-16 00:00:00,106.32,time,0.0019005826803296184
TIP,short,2008-09-17 00:00:00,105.29,2008-11-12 00:00:00,95.0,time,0.09653642803624769
TIP,short,2008-11-13 00:00:00,95.15,2008-12-16 00:00:00,98.41762191078723,stop,-0.03517830416128178
TIP,short,2008-12-17 00:00:00,99.98,2009-02-17 00:00:00,100.52,time,-0.006594731009693924
TIP,short,2009-03-10 00:00:00,97.05,2009-03-18 00:00:00,99.34557579715296,stop,-0.024172584941592225
TIP,short,2009-05-04 00:00:00,98.9,2009-05-15 00:00:00,101.2222627258184,stop,-0.024059488777594562
TIP,short,2010-04-06 00:00:00,103.0,2010-04-12 00:00:00,104.2070489029269,stop,-0.012198286467004937
TIP,short,2010-12-09 00:00:00,106.94,2011-02-07 00:00:00,105.71,time,0.010308125903562624
TIP,short,2011-02-08 00:00:00,105.84,2011-02-22 00:00:00,107.29243218778728,stop,-0.014301475697158783
TIP,short,2011-02-23 00:00:00,107.32,2011-03-07 00:00:00,108.76392146305447,stop,-0.01401308594567081
TIP,short,2013-01-28 00:00:00,120.38,2013-03-01 00:00:00,121.3221588400964,stop,-0.00868288883167241
TIP,short,2013-03-05 00:00:00,121.07,2013-04-05 00:00:00,122.69,stop,-0.014217196794193665
TIP,short,2013-04-11 00:00:00,121.44,2013-04-26 00:00:00,122.55870862943375,stop,-0.009830281549230135
TIP,short,2013-05-15 00:00:00,119.25,2013-07-12 00:00:00,112.06,time,0.05909985025456717
TIP,short,2013-07-15 00:00:00,111.84,2013-09-10 00:00:00,109.06,time,0.02366328768989718
TIP,short,2013-09-11 00:00:00,109.48,2013-09-18 00:00:00,111.17243490414698,stop,-0.01595805640535335
TIP,short,2013-09-19 00:00:00,112.1,2013-11-14 00:00:00,111.75,time,0.0019285615167862842
TIP,short,2013-12-02 00:00:00,111.4,2014-01-30 00:00:00,111.83,time,-0.005053614887007998
TIP,short,2014-01-31 00:00:00,112.18,2014-03-03 00:00:00,113.10226223198337,stop,-0.009018096853264757
TIP,short,2014-09-11 00:00:00,113.23,2014-10-15 00:00:00,115.03,stop,-0.016773037601510502
TIP,short,2014-10-24 00:00:00,113.32,2014-12-22 00:00:00,112.28,time,0.007983899506384404
TIP,short,2014-12-23 00:00:00,112.27,2015-01-14 00:00:00,113.5792861078678,stop,-0.01233971870472006
TIP,short,2015-01-15 00:00:00,113.71,2015-01-28 00:00:00,115.03219653244776,stop,-0.012186524833321232
TIP,short,2015-02-23 00:00:00,112.6,2015-02-27 00:00:00,114.08455573696425,stop,-0.013663696668745562
TIP,short,2015-03-06 00:00:00,112.58,2015-03-24 00:00:00,114.03526416023595,stop,-0.01356458449227862
TIP,short,2015-03-27 00:00:00,113.76,2015-04-17 00:00:00,115.24895371519293,stop,-0.013766330126520065
TIP,short,2015-05-12 00:00:00,112.16,2015-07-09 00:00:00,112.69,time,-0.005919043090369771
TIP,short,2015-07-10 00:00:00,111.83,2015-09-04 00:00:00,110.85,time,0.0075696506460344965
TIP,short,2015-09-08 00:00:00,110.58,2015-10-02 00:00:00,111.89568797425379,stop,-0.012655207373816603
TIP,short,2015-10-05 00:00:00,111.67,2015-12-01 00:00:00,110.82,time,0.006418062289540847
TIP,short,2015-12-02 00:00:00,110.94,2016-02-01 00:00:00,111.26,time,-0.004078092834393579
TIP,short,2016-11-10 00:00:00,114.9,2017-01-10 00:00:00,113.47,time,0.011251954080152624
TIP,short,2017-01-11 00:00:00,114.07,2017-03-10 00:00:00,113.07,time,0.007572896063542121
TIP,short,2017-05-11 00:00:00,113.29,2017-05-17 00:00:00,114.21478146915,stop,-0.008642322702721028
TIP,short,2017-05-18 00:00:00,114.2,2017-07-17 00:00:00,113.17,time,0.007825613654685435
TIP,short,2017-07-18 00:00:00,113.62,2017-08-29 00:00:00,114.5,stop,-0.008740353391840695
TIP,short,2017-10-03 00:00:00,113.31,2017-11-07 00:00:00,114.21,stop,-0.008838843501393013
TIP,short,2017-11-13 00:00:00,113.9,2018-01-11 00:00:00,113.3,time,0.0040741279596416356
TIP,short,2018-01-12 00:00:00,113.28,2018-03-13 00:00:00,112.22,time,0.00816369383911759
TIP,short,2018-03-14 00:00:00,112.18,2018-03-29 00:00:00,113.02287305995789,stop,-0.008131830897812642
TIP,short,2018-04-02 00:00:00,112.8,2018-05-29 00:00:00,112.24,time,0.0037708882134414676
TIP,short,2018-05-30 00:00:00,112.45,2018-07-26 00:00:00,111.8,time,0.0045866960271585076
TIP,short,2018-07-27 00:00:00,111.82,2018-09-24 00:00:00,110.52,time,0.010432176428670734
TIP,short,2018-09-25 00:00:00,110.39,2018-11-20 00:00:00,109.18,time,0.009767486990568683
TIP,short,2018-11-21 00:00:00,108.97,2018-12-04 00:00:00,109.78283062432472,stop,-0.008017944844650193
TIP,short,2018-12-06 00:00:00,109.69,2019-01-31 00:00:00,110.69,stop,-0.01025072831515075
TIP,short,2020-03-19 00:00:00,109.64,2020-03-20 00:00:00,115.11963960369143,stop,-0.05039831266432701
TIP,short,2020-03-23 00:00:00,115.42,2020-03-26 00:00:00,121.44951067869312,stop,-0.05269926283822863
TIP,short,2021-03-02 00:00:00,125.34,2021-04-27 00:00:00,126.835,stop,-0.013101366568647578
TIP,short,2021-12-17 00:00:00,128.02,2022-02-15 00:00:00,123.37,time,0.03512879882359661
TIP,short,2022-02-16 00:00:00,123.46,2022-02-24 00:00:00,126.26,stop,-0.023178616684537735
TIP,short,2022-02-25 00:00:00,124.92,2022-02-28 00:00:00,126.78942265413264,stop,-0.015384800076538618
