asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EWA,long,1997-07-17 00:00:00,11.31,1997-08-14 00:00:00,11.06,time,-0.022504332449159992
EWA,long,1999-06-02 00:00:00,10.5,1999-06-30 00:00:00,10.88,time,0.03579047619047633
EWA,long,1999-08-11 00:00:00,10.5,1999-09-09 00:00:00,10.44,time,-0.006114285714285783
EWA,long,2001-07-06 00:00:00,9.38,2001-08-03 00:00:00,9.67,time,0.030516844349680116
EWA,long,2002-07-05 00:00:00,9.8,2002-07-22 00:00:00,9.116318270485866,stop,-0.07016344178715654
EWA,long,2004-04-29 00:00:00,13.08,2004-05-10 00:00:00,12.134088002366752,stop,-0.07271743101171617
EWA,long,2005-03-30 00:00:00,16.92,2005-04-27 00:00:00,16.74,time,-0.011038297872340607
EWA,long,2005-05-17 00:00:00,16.2,2005-05-24 00:00:00,16.987466940607522,target,0.04820907040787188
EWA,long,2005-10-21 00:00:00,17.93,2005-11-17 00:00:00,18.9,target,0.053699274958170576
EWA,long,2006-06-08 00:00:00,19.85,2006-07-07 00:00:00,21.12,time,0.06357984886649866
EWA,long,2007-01-08 00:00:00,22.68,2007-01-23 00:00:00,24.172287140626118,target,0.0653974929729328
EWA,long,2007-08-06 00:00:00,27.13,2007-08-16 00:00:00,23.81,stop,-0.12277375598967936
EWA,long,2007-11-20 00:00:00,31.06,2007-12-19 00:00:00,29.18,time,-0.06092801030263999
EWA,long,2007-12-20 00:00:00,27.89,2008-01-22 00:00:00,23.56,time,-0.1556527787737541
EWA,long,2009-12-23 00:00:00,22.0,2010-01-04 00:00:00,23.723051000706008,target,0.07792050003209124
EWA,long,2010-01-29 00:00:00,21.64,2010-03-01 00:00:00,22.51,time,0.039803327171904004
EWA,long,2010-05-05 00:00:00,22.2,2010-05-06 00:00:00,20.420083155720214,stop,-0.08057643442701738
EWA,long,2010-12-01 00:00:00,23.94,2010-12-30 00:00:00,25.42,time,0.06142121971595667
EWA,long,2011-03-16 00:00:00,23.88,2011-03-24 00:00:00,25.66587067144483,target,0.07438520399685218
EWA,long,2011-05-24 00:00:00,26.0,2011-06-22 00:00:00,25.09,time,-0.03540000000000003
EWA,long,2013-04-16 00:00:00,26.82,2013-04-30 00:00:00,28.13629220113292,target,0.04867875470294254
EWA,long,2013-05-23 00:00:00,25.74,2013-05-31 00:00:00,24.439193166464953,stop,-0.05093639601923254
EWA,long,2014-06-26 00:00:00,26.34,2014-07-25 00:00:00,26.96,time,0.023138344722854986
EWA,long,2014-08-08 00:00:00,25.9,2014-08-18 00:00:00,26.76674146350859,target,0.03306492137098811
EWA,long,2014-09-15 00:00:00,25.69,2014-09-22 00:00:00,24.75,stop,-0.036990112884390844
EWA,long,2016-06-15 00:00:00,19.05,2016-07-12 00:00:00,20.24,target,0.062067191601049745
EWA,long,2016-09-12 00:00:00,19.55,2016-09-22 00:00:00,20.66,target,0.05637749360613804
EWA,long,2016-11-21 00:00:00,20.08,2016-12-07 00:00:00,21.0108449758481,target,0.045956821506379655
EWA,long,2017-05-09 00:00:00,21.71,2017-06-07 00:00:00,21.56,time,-0.00730925840626444
EWA,long,2019-08-06 00:00:00,21.3,2019-09-04 00:00:00,21.73,time,0.019787793427230093
EWA,long,2020-09-23 00:00:00,19.93,2020-10-21 00:00:00,20.55,time,0.030708881083793393
EWA,long,2021-07-07 00:00:00,26.09,2021-07-19 00:00:00,25.078042004120125,stop,-0.03918719800229491
EWA,long,2021-07-20 00:00:00,25.0,2021-08-03 00:00:00,26.169830776106966,target,0.046393231044278685
EWA,long,2021-08-20 00:00:00,25.16,2021-09-01 00:00:00,26.19,target,0.04053799682034982
EWA,long,2023-03-10 00:00:00,22.51,2023-04-10 00:00:00,22.85,time,0.014704398045313162
