asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
TLT,short,2003-07-24 00:00:00,85.9,2003-09-19 00:00:00,85.65,time,0.0017167100910989248
TLT,short,2003-09-22 00:00:00,85.0,2003-09-26 00:00:00,87.42258059267327,stop,-0.028980313228462284
TLT,short,2003-09-29 00:00:00,87.02,2003-11-24 00:00:00,86.18,time,0.008459302550407896
TLT,short,2003-11-25 00:00:00,85.95,2004-01-15 00:00:00,87.98007127219576,stop,-0.024693815183861604
TLT,short,2004-04-15 00:00:00,84.67,2004-06-14 00:00:00,81.2,time,0.03978898768514923
TLT,short,2004-06-15 00:00:00,81.81,2004-06-30 00:00:00,83.38077174164076,stop,-0.019818495279105376
TLT,short,2004-07-01 00:00:00,83.35,2004-07-16 00:00:00,84.99772770043755,stop,-0.020367191347933567
TLT,short,2004-07-30 00:00:00,84.07,2004-08-06 00:00:00,86.41,stop,-0.028333154249765503
TLT,short,2005-10-04 00:00:00,91.37,2005-11-30 00:00:00,90.3,time,0.010516976326848402
TLT,short,2005-12-01 00:00:00,90.0,2005-12-23 00:00:00,91.71449633960117,stop,-0.019767419646362284
TLT,short,2006-01-04 00:00:00,91.54,2006-03-03 00:00:00,89.48,time,0.0213101726715011
TLT,short,2006-03-07 00:00:00,88.4,2006-05-03 00:00:00,83.35,time,0.05593304603892853
TLT,short,2006-05-04 00:00:00,83.38,2006-05-22 00:00:00,84.88615004914709,stop,-0.018701780164301598
TLT,short,2006-05-23 00:00:00,84.27,2006-07-20 00:00:00,84.97,time,-0.009500284233783731
TLT,short,2006-07-21 00:00:00,85.6,2006-08-21 00:00:00,87.04997985893155,stop,-0.017755683710259686
TLT,short,2007-01-26 00:00:00,86.78,2007-02-07 00:00:00,88.10322453927836,stop,-0.01580676587293102
TLT,short,2007-04-10 00:00:00,87.39,2007-04-24 00:00:00,88.72925707674594,stop,-0.015923473652136578
TLT,short,2007-05-18 00:00:00,87.35,2007-07-17 00:00:00,84.86,time,0.027312359509726387
TLT,short,2007-07-18 00:00:00,84.93,2007-07-26 00:00:00,86.76796507345742,stop,-0.02215998808128026
TLT,short,2007-07-27 00:00:00,87.03,2007-08-29 00:00:00,88.76030625831629,stop,-0.020738071121967863
TLT,short,2008-05-29 00:00:00,90.01,2008-06-30 00:00:00,92.5721179593295,stop,-0.02930132250521691
TLT,short,2008-07-17 00:00:00,91.26,2008-08-25 00:00:00,94.12,stop,-0.03227474562474566
TLT,short,2009-04-30 00:00:00,97.98,2009-06-26 00:00:00,94.62,time,0.03309906200487951
