asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EUR,long,1999-05-27 00:00:00,1.0439,1999-06-25 00:00:00,1.0448,time,0.0005621515470830232
EUR,long,1999-07-13 00:00:00,1.0176,1999-08-10 00:00:00,1.0752,time,0.056303773584905424
EUR,short,1999-10-18 00:00:00,1.0863,1999-11-16 00:00:00,1.0312,time,0.04927321118507315
EUR,long,1999-11-26 00:00:00,1.0137,1999-12-24 00:00:00,1.0128,time,-0.001187836638058692
EUR,long,2000-01-28 00:00:00,0.9765,2000-02-28 00:00:00,0.9669,time,-0.010131029185867979
EUR,long,2000-02-29 00:00:00,0.9643,2000-03-28 00:00:00,0.9614,time,-0.0033073628538836993
EUR,long,2000-04-20 00:00:00,0.9376,2000-05-18 00:00:00,0.8952,time,-0.04552184300341292
EUR,long,2000-09-07 00:00:00,0.874,2000-10-05 00:00:00,0.8685,time,-0.006592906178489654
EUR,long,2000-10-26 00:00:00,0.8271,2000-11-24 00:00:00,0.8382,time,0.013120384475879565
EUR,short,2000-12-05 00:00:00,0.8804,2001-01-04 00:00:00,0.9448,time,-0.0745979941197053
EUR,short,2001-01-05 00:00:00,0.9535,2001-02-05 00:00:00,0.9395,time,0.013233322484012365
EUR,long,2001-03-19 00:00:00,0.8985,2001-04-16 00:00:00,0.8862,time,-0.013989482470784608
EUR,long,2001-05-24 00:00:00,0.857,2001-06-22 00:00:00,0.857,time,-0.00030000000000000003
EUR,short,2001-08-10 00:00:00,0.894,2001-09-10 00:00:00,0.8988,time,-0.006818552804134971
EUR,long,2001-11-14 00:00:00,0.8829,2001-12-13 00:00:00,0.8976,time,0.01634967720013588
EUR,long,2002-01-28 00:00:00,0.8605,2002-02-26 00:00:00,0.8682,time,0.008648285880302054
EUR,short,2002-04-18 00:00:00,0.8898,2002-05-16 00:00:00,0.9105,time,-0.024713080041233473
EUR,short,2002-05-20 00:00:00,0.9213,2002-06-18 00:00:00,0.9483,time,-0.030755840135939863
EUR,short,2002-06-21 00:00:00,0.9705,2002-07-22 00:00:00,1.0098,time,-0.04194401570466695
EUR,short,2002-11-04 00:00:00,0.9953,2002-12-04 00:00:00,0.9999,time,-0.006071147381197474
EUR,short,2002-12-13 00:00:00,1.0226,2003-01-14 00:00:00,1.0571,time,-0.0351869570690891
EUR,short,2003-01-21 00:00:00,1.0677,2003-02-19 00:00:00,1.0744,time,-0.007724596215519531
EUR,short,2003-04-25 00:00:00,1.104,2003-05-23 00:00:00,1.1786,time,-0.06902188905547219
EUR,short,2003-05-27 00:00:00,1.1853,2003-06-24 00:00:00,1.1498,time,0.028500798284735215
EUR,long,2003-08-22 00:00:00,1.0871,2003-09-22 00:00:00,1.1468,time,0.0546167509888695
EUR,short,2003-10-01 00:00:00,1.1708,2003-10-30 00:00:00,1.1694,time,-0.00025366170689851257
EUR,short,2003-12-08 00:00:00,1.2217,2004-01-07 00:00:00,1.2665,time,-0.03811963892409194
EUR,short,2004-01-09 00:00:00,1.2853,2004-02-09 00:00:00,1.2672,time,0.012632890125387751
EUR,long,2004-03-04 00:00:00,1.2225,2004-04-01 00:00:00,1.2358,time,0.010579345603272084
EUR,long,2004-04-06 00:00:00,1.2089,2004-05-04 00:00:00,1.2076,time,-0.0013753577632559574
EUR,short,2004-07-08 00:00:00,1.239,2004-08-05 00:00:00,1.205,time,0.025992059781247454
EUR,short,2004-10-18 00:00:00,1.252,2004-11-16 00:00:00,1.2979,time,-0.03811076714039159
EUR,short,2004-11-29 00:00:00,1.3286,2004-12-27 00:00:00,1.3625,time,-0.02696500559745714
EUR,long,2005-02-08 00:00:00,1.2783,2005-03-09 00:00:00,1.3384,time,0.04671556755065317
EUR,long,2005-05-16 00:00:00,1.263,2005-06-14 00:00:00,1.2038,time,-0.04717252573238321
EUR,long,2005-06-15 00:00:00,1.2106,2005-07-14 00:00:00,1.2089,time,-0.0017042623492481753
EUR,short,2005-09-02 00:00:00,1.2538,2005-10-03 00:00:00,1.1914,time,0.048319277855090645
EUR,long,2005-10-04 00:00:00,1.1918,2005-11-02 00:00:00,1.2067,time,0.012202097667393963
EUR,long,2005-11-08 00:00:00,1.1773,2005-12-08 00:00:00,1.183,time,0.004541586681389565
EUR,short,2006-01-24 00:00:00,1.2287,2006-02-22 00:00:00,1.1905,time,0.02964034438791023
EUR,short,2006-04-20 00:00:00,1.2326,2006-05-18 00:00:00,1.2795,time,-0.03949907643127977
